,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
92,Klaus Schafer,Energy,Energy,"Dusseldorf, Germany",http://www.uniper.energy,1,"12,890",Uniper,2017
93,David J. Lewis,Food & Drug Stores,Food and Drug Stores,"Welwyn Garden City, Britain",http://www.tescoplc.com,23,"342,770",Tesco,2017
94,Isabelle Kocher,Energy,Energy,"Courbevoie, France",http://www.engie.com,22,"153,090",Engie,2017
95,Thomas Enders,Aerospace & Defense,Aerospace and Defense,"Leiden, Netherlands",http://www.airbusgroup.com,23,"133,782",Airbus Group,2017
96,Tae Won Chey,Energy,Petroleum Refining,"Seoul, South Korea",http://www.sk.co.kr,2,"84,000",SK Holdings,2017
97,Greg C. Garland,Energy,Petroleum Refining,"Houston, TX",http://www.phillips66.com,5,"14,800",Phillips 66,2017
98,Alex Gorsky,Health Care,Pharmaceuticals,"New Brunswick, NJ",http://www.jnj.com,17,"126,400",Johnson & Johnson,2017
99,David S. Taylor,Household Products,Household and Personal Products,"Cincinnati, OH",http://www.pg.com,23,"105,000",Procter & Gamble,2017
100,Megan J. Brennan,Transportation,"Mail, Package, and Freight Delivery","Washington, DC",http://www.usps.com,23,"574,349",U.S. Postal Service,2017
101,Li Qingkui,Energy,Utilities,"Guangzhou, China",http://www.csg.cn,13,"302,421",China Southern Power Grid,2017
102,Xu Liuping,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.chinasouth.com.cn,8,"232,817",China South Industries Group,2017
103,Vagit Y. Alekperov,Energy,Petroleum Refining,"Moscow, Russia",http://www.lukoil.com,18,"105,500",Lukoil,2017
104,Liu Qitao,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.ccccltd.cn,10,"152,666",China Communications Construction,2017
105,Francois Perol,Financials,Banks: Commercial and Savings,"Paris, France",http://www.groupebpce.fr,8,"102,827",Groupe BPCE,2017
106,Kazuo Hirai,Technology,"Electronics, Electrical Equip.","Tokyo, Japan",http://www.sony.net,23,"128,400",Sony,2017
107,Joseph W. Gorder,Energy,Petroleum Refining,"San Antonio, TX",http://www.valero.com,17,"9,996",Valero Energy,2017
108,Brian C. Cornell,Retailing,General Merchandisers,"Minneapolis, MN",http://www.target.com,23,"323,000",Target,2017
109,Frederic Oudea,Financials,Banks: Commercial and Savings,"Paris, France",http://www.societegenerale.com,21,"151,341",Societe Generale,2017
110,Joachim Wenning,Financials,Insurance: Property and Casualty (Stock),"Munich, Germany",http://www.munichre.com,23,"43,428",Munich Re Group,2017
111,Kazuhiro Tsuga,Technology,"Electronics, Electrical Equip.","Osaka, Japan",http://www.panasonic.com/global,23,"257,533",Panasonic,2017
112,Yoshinobu Tsutsui,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan",http://www.nissay.co.jp,23,"85,171",Nippon Life Insurance,2017
113,Mario Greco,Financials,Insurance: Property and Casualty (Stock),"Zurich, Switzerland",http://www.zurich.com,23,"52,473",Zurich Insurance Group,2017
