,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
273,Zhang Bo,Industrials,Textiles,"Shandong, China",https://www.weiqiaocy.com,8,"106,044",Shandong Weiqiao Pioneering Group
274,Sergio P. Ermotti,Financials,Banks: Commercial and Savings,Zurich,https://www.ubs.com,25,"66,888",UBS Group
275,D. Rajkumar,Energy,Petroleum Refining,Mumbai,https://www.bharatpetroleum.in,16,"12,865",Bharat Petroleum
276,Corie Barry,Retailing,Specialty Retailers,"Richfield, Minn.",https://www.bestbuy.com,21,"125,000",Best Buy
277,Huang Wenzhou,Wholesalers,Trading,"Xiamen, China",https://www.chinacdc.com,3,"24,016",Xiamen C&D
278,David H. Long,Financials,Insurance: Property and Casualty (Stock),Boston,https://www.libertymutual.com,25,"50,000",Liberty Mutual Insurance Group
279,Xu Lirong,Transportation,Shipping,Shanghai,https://www.coscoshipping.com,12,"111,397",China COSCO Shipping
280,Ben Keswick,Motor Vehicles & Parts,Motor Vehicles and Parts,Hong Kong,https://www.jardines.com,20,"469,000",Jardine Matheson
281,Yang Zhaoqian,Energy,"Mining, Crude-Oil Production","""Xi'an, China""",https://www.shccig.com,5,"120,095",Shaanxi Coal & Chemical Industry
282,Torsten Leue,Financials,Insurance: Property and Casualty (Stock),"Hanover, Germany",https://www.talanx.com,6,"20,780",Talanx
283,Zhou Qiang,Wholesalers,Trading,Beijing,https://www.cnaf.com,9,"13,181",China National Aviation Fuel Group
284,Carsten Spohr,Transportation,Airlines,"Cologne, Germany",https://www.lufthansagroup.com,25,"115,882",Lufthansa Group
285,Kenneth C. Frazier,Health Care,Pharmaceuticals,"Kenilworth, N.J.",https://www.merck.com,25,"69,000",Merck
286,Shu Yinbiao,Energy,Energy,Beijing,https://www.chng.com.cn,11,"136,031",China Huaneng Group
287,Martin Bouygues,Engineering & Construction,"Engineering, Construction",Paris,https://www.bouygues.com,25,"129,275",Bouygues
288,Olivier Brandicourt,Health Care,Pharmaceuticals,Paris,https://www.sanofi.com,15,"104,226",Sanofi
289,Li Xiaopeng,Financials,Banks: Commercial and Savings,Beijing,https://www.ebchina.com,5,"70,000",China Everbright Group
