,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
213,Rolf Martin Schmitz,Energy,Utilities,"Essen, Germany",http://www.rwe.com,24,"59,547",RWE,2018
214,R. Milton Johnson,Health Care,Health Care: Medical Facilities,Nashville,http://www.hcahealthcare.com,24,"221,491",HCA Healthcare,2018
215,Rajnish Kumar,Financials,Banks: Commercial and Savings,Mumbai,http://www.sbi.co.in,13,"264,041",State Bank of India,2018
216,John W. McReynolds,Energy,Pipelines,Dallas,http://www.energytransfer.com,5,"29,486",Energy Transfer Equity,2018
217,Heinrich Hiesinger,Materials,Metals,"Essen, Germany",http://www.thyssenkrupp.com,24,"158,739",ThyssenKrupp,2018
218,Han-Woo Park,Motor Vehicles & Parts,Motor Vehicles & Parts,Seoul,http://www.kia.com,7,"51,789",Kia Motors,2018
219,He Qing,Financials,"Insurance: Life, Health (stock)",Shanghai,http://www.cpic.com.cn,8,"101,887",China Pacific Insurance (Group),2018
220,Yasuyoshi Karasawa,Financials,Insurance: Property and Casualty (Stock),Tokyo,http://www.ms-ad-hd.com,20,"41,295",MS&AD Insurance Group Holdings,2018
221,Yu Dehui,Materials,Metals,Beijing,http://www.chalco.com.cn,11,"123,293",Aluminum Corp. of China,2018
222,Christian Sewing,Financials,Banks: Commercial and Savings,Frankfurt,http://www.db.com,24,"97,535",Deutsche Bank,2018
223,Carlos Torres Vila,Financials,Banks: Commercial and Savings,"Bilbao, Spain",http://www.bbva.com,24,"131,856",Banco Bilbao Vizcaya Argentaria,2018
224,Stephane Richard,Telecommunications,Telecommunications,Paris,http://www.orange.com,24,"151,556",Orange,2018
225,Xavier Huillard,Engineering & Construction,Engineering & Construction,"Rueil-Malmaison, France",http://www.vinci.com,18,"194,428",Vinci,2018
226,Gao Guofu,Financials,Banks: Commercial and Savings,Shanghai,http://www.spdb.com.cn,6,"54,263",Shanghai Pudong Development Bank,2018
227,Brad Banducci,Food & Drug Stores,Food & Drug Stores,"Bella Vista, Australia",http://www.woolworthslimited.com.au,22,"202,000",Woolworths Group,2018
228,Koji Arima,Motor Vehicles & Parts,Motor Vehicles & Parts,"Kariya, Japan",http://www.denso.com/global,24,"168,813",Denso,2018
229,Hui Ka Yan,Financials,Real estate,"Shenzen, China",http://www.evergrande.com,3,"125,526",China Evergrande Group,2018
230,Pierre-Andre de Chalendar,Materials,"Building Materials, Glass","Courbevoie, France",http://www.saint-gobain.com,24,"179,149",Saint-Gobain,2018
231,Guenter Butschek,Motor Vehicles & Parts,Motor Vehicles & Parts,Mumbai,http://www.tatamotors.com,9,"81,090",Tata Motors,2018
232,Soren W. Schroder,"Food, Beverages & Tobacco",Food Production,"White Plains, N.Y.",http://www.bunge.com,16,"31,000",Bunge,2018
233,Li Weimin,Energy,"Mining, Crude-Oil Production","Jinan , China",http://www.snjt.com,7,"158,840",Shandong Energy Group,2018
234,Chen Jianhua,Industrials,Textiles,"Suzhou City, China",http://www.hengli.com,2,"63,420",Hengli Group,2018
235,Makoto Takahashi,Telecommunications,Telecommunications,Tokyo,http://www.kddi.com,21,"38,826",KDDI,2018
236,Tao Yiping,Financials,Banks: Commercial and Savings,"Fuzhou, China",http://www.cib.com.cn,6,"58,997",Industrial Bank,2018
237,D. James Umpleby III,Industrials,Construction and Farm Machinery,"Deerfield, Ill.",http://www.caterpillar.com,24,"98,400",Caterpillar,2018
238,Yu Yong,Materials,Metals,"Shijiazhuang, China",http://www.hbisco.com,10,"123,178",HBIS Group,2018
239,Yang Yuanqing,Technology,"Computers, Office Equipment",Hong Kong,http://www.lenovo.com,9,"54,000",Lenovo Group,2018
240,Roy Gori,Financials,"Insurance: Life, Health (stock)","Toronto, Ontario, Canada",http://www.manulife.com,16,"34,300",Manulife Financial,2018
241,Gong Yande,Aerospace & Defense,Aerospace & Defense,Beijing,http://www.chinasouth.com.cn,9,"211,716",China South Industries Group,2018
242,Song Zhiping,Materials,"Building Materials, Glass",Beijing,http://www.cnbm.com.cn,8,"214,480",China National Building Material Group,2018
243,Tae-Jong Lee,Financials,"Insurance: Life, Health (stock)",Seoul,http://www.hanwhacorp.co.kr,13,"52,909",Hanwha,2018
244,Hu Wenming,Industrials,Shipping,Beijing,http://www.csic.com.cn,8,"173,201",China Shipbuilding Industry,2018
245,Tatsuo Yasunaga,Wholesalers,Trading,Tokyo,http://www.mitsui.com,24,"42,304",Mitsui,2018
246,Stephen S. Rasmussen,Financials,Insurance: Property and Casualty (Mutual),"Columbus, Ohio",http://www.nationwide.com,24,"33,135",Nationwide,2018
247,Kuok Khoon Hong,"Food, Beverages & Tobacco",Food Production,Singapore,http://www.wilmar-international.com,10,"90,000",Wilmar International,2018
248,James P. Gorman,Financials,Banks: Commercial and Savings,New York City,http://www.morganstanley.com,21,"57,633",Morgan Stanley,2018
249,Masayuki Hyodo,Wholesalers,Trading,Tokyo,http://www.sumitomocorp.co.jp,24,"73,016",Sumitomo,2018
250,Zheng Wanchun,Financials,Banks: Commercial and Savings,Beijing,http://www.cmbc.com.cn,6,"57,882",China Minsheng Banking,2018
251,Zhang Yuliang,Financials,Real estate,Shanghai,http://www.ldjt.com.cn,7,"33,473",Greenland Holding Group,2018
252,Nicke Widyawati,Energy,Petroleum Refining,Jakarta,http://www.pertamina.com,6,"27,817",Pertamina,2018
253,Johannes Teyssen,Energy,Energy,"Essen, Germany",http://www.eon.com,24,"42,699",E.ON,2018
254,David H. Long,Financials,Insurance: Property and Casualty (Stock),Boston,http://www.libertymutual.com,24,"50,000",Liberty Mutual Insurance Group,2018
255,Xu Jian,Industrials,Industrial Machinery,Beijing,http://www.sinomach.com.cn,8,"150,967",Sinomach,2018
256,Christian Mumenthaler,Financials,Insurance: Property and Casualty (Stock),Zurich,http://www.swissre.com,24,"14,485",Swiss Re,2018
257,Theodore A. Mathas,Financials,"Insurance: Life, Health (Mutual)",New York City,http://www.newyorklife.com,24,"11,114",New York Life Insurance,2018
258,Lloyd C. Blankfein,Financials,Banks: Commercial and Savings,New York City,http://www.gs.com,19,"36,600",Goldman Sachs Group,2018
259,W. Douglas Parker,Transportation,Airlines,Fort Worth,http://www.aa.com,24,"126,600",American Airlines Group,2018
260,Hubert B. Joly,Retailing,Specialty Retailers,"Richfield, Minn.",http://www.bestbuy.com,20,"125,000",Best Buy,2018
261,Josu Jon Imaz San Miguel,Energy,Petroleum Refining,Madrid,http://www.repsol.com,24,"22,375",Repsol,2018
262,David M. Cordani,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, Conn.",http://www.cigna.com,23,"46,000",Cigna,2018
263,Thomas M. Rutledge,Telecommunications,Telecommunications,"Stamford, Conn.",http://www.charter.com,2,"94,800",Charter Communications,2018
264,Alistair Phillips-Davies,Energy,Utilities,"Perth, Britain",http://www.sse.com,13,"20,785",SSE,2018
265,Edward H. Bastian,Transportation,Airlines,Atlanta,http://www.delta.com,24,"86,564",Delta Air Lines,2018
266,Li Shufu,Motor Vehicles & Parts,Motor Vehicles & Parts,"Hangzhou, China",http://www.geely.com,7,"77,073",Zhejiang Geely Holding Group,2018
267,Wolf-Henning Scheider,Motor Vehicles & Parts,Motor Vehicles & Parts,"Friedrichshafen, Germany",http://www.zf.com,5,"146,148",ZF Friedrichshafen,2018
268,Olaf Koch,Food & Drug Stores,Food & Drug Stores,-,http://www.metroag.de,1,"135,890",Metro,2018
269,Wang Tingge,Wholesalers,Trading,"Hangzhou, China",http://www.zjmi.com,8,"19,071",Wuchan Zhongda Group,2018
270,Olivier Brandicourt,Health Care,Pharmaceuticals,Paris,http://www.sanofi.com,14,"106,570",Sanofi,2018
271,J. Bruce Flatt,Financials,Diversified Financials,"Toronto, Ontario, Canada",http://www.brookfield.com,2,"80,750",Brookfield Asset Management,2018
272,Wang Xiaochu,Telecommunications,Telecommunications,Beijing,http://www.chinaunicom-a.com,10,"252,522",China United Network Communications,2018
273,Mark Zuckerberg,Technology,Internet Services and Retailing,"Menlo Park, Calif.",http://www.facebook.com,2,"25,105",Facebook,2018
274,Darius Adamczyk,Technology,"Electronics, Electrical Equip.","Morris Plains, N.J.",http://www.honeywell.com,24,"131,000",Honeywell International,2018
275,Kenneth C. Frazier,Health Care,Pharmaceuticals,"Kenilworth, N.J.",http://www.merck.com,24,"69,000",Merck,2018
276,Carsten Spohr,Transportation,Airlines,"Cologne, Germany",http://www.lufthansagroup.com,24,"110,917",Lufthansa Group,2018
277,Jean-Sebastien Jacques,Energy,"Mining, Crude-Oil Production",London,http://www.riotinto.com,13,"46,807",Rio Tinto Group,2018
278,Takeshi Sugiyama,Technology,"Electronics, Electrical Equip.",Tokyo,http://www.mitsubishielectric.com,24,"142,340",Mitsubishi Electric,2018
279,Li Jianhong,Transportation,"Mail, Package, and Freight Delivery",Hong Kong,http://www.cmhk.com,1,"108,737",China Merchants Group,2018
280,Yousef Abdullah Al-Benyan,Chemicals,Chemicals,Riyadh,http://www.sabic.com,14,"34,000",SABIC,2018
281,Paul Desmarais Jr. /Andre Desmarais,Financials,"Insurance: Life, Health (stock)","Montreal, Quebec, Canada",http://www.powercorporation.com,20,"30,484",Power Corp. of Canada,2018
282,Ben Keswick,Motor Vehicles & Parts,Motor Vehicles & Parts,Hong Kong,http://www.jardines.com,19,"444,000",Jardine Matheson,2018
283,Marcelino Fernandez Verdes,Engineering & Construction,Engineering & Construction,Madrid,http://www.grupoacs.com,14,"122,120",ACS,2018
284,Syh-Jang Liao,Technology,"Electronics, Electrical Equip.",Taipei,http://www.pegatroncorp.com,6,"130,052",Pegatron,2018
285,Martin Lundstedt,Motor Vehicles & Parts,Motor Vehicles & Parts,-,http://www.volvogroup.com,24,"93,296",Volvo,2018
286,Donald J. Walker,Motor Vehicles & Parts,Motor Vehicles & Parts,"Aurora, Ontario, Canada",http://www.magna.com,18,"168,000",Magna International,2018
287,Yang Yue,Energy,"Mining, Crude-Oil Production","""Xi'an, China""",http://www.sxycpc.com,6,"130,614",Shaanxi Yanchang Petroleum (Group),2018
288,Cao Peixi,Energy,Energy,Beijing,http://www.chng.com.cn,10,"138,473",China Huaneng Group,2018
289,Emma N. Walmsley,Health Care,Pharmaceuticals,"Brentford, Britain",http://www.gsk.com,24,"98,462",GlaxoSmithKline,2018
290,Torsten Leue,Financials,Insurance: Property and Casualty (Stock),"Hanover, Germany",http://www.talanx.com,5,"20,419",Talanx,2018
291,David I. McKay,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",http://www.rbc.com,24,"78,210",Royal Bank of Canada,2018
292,Thomas J. Wilson,Financials,Insurance: Property and Casualty (Stock),"Northbrook, Ill.",http://www.allstate.com,23,"42,680",Allstate,2018
293,Yang Zhaoqian,Energy,"Mining, Crude-Oil Production","""Xi'an, China""",http://www.shccig.com,4,"119,416",Shaanxi Coal & Chemical Industry,2018
294,Ng Keng Hooi,Financials,"Insurance: Life, Health (stock)",Hong Kong,http://www.aia.com,4,"20,000",AIA Group,2018
295,Andrew Mackenzie,Energy,"Mining, Crude-Oil Production",Melbourne,http://www.bhpbilliton.com,24,"26,146",BHP Billiton,2018
296,Thomas P. Hayes,"Food, Beverages & Tobacco",Food Production,"Springdale, Ark.",http://www.tysonfoods.com,17,"122,000",Tyson Foods,2018
297,Stephan Sturm,Health Care,Health Care: Medical Facilities,"Bad Homburg, Germany",http://www.fresenius.com,9,"273,249",Fresenius,2018
298,Brian P. Hannasch,Food & Drug Stores,Food & Drug Stores,"Laval, Quebec, Canada",http://corpo.couche-tard.com,5,"120,000",Alimentation Couche-Tard,2018
299,Daniel Zhang,Technology,Internet Services and Retailing,"Hangzhou, China",http://www.alibabagroup.com,2,"66,421",Alibaba Group Holding,2018
300,Oscar Munoz,Transportation,Airlines,Chicago,http://www.united.com,23,"89,800",United Continental Holdings,2018
301,Safra A. Catz /Mark V. Hurd,Technology,Computer Software,"Redwood City, Calif.",http://www.oracle.com,12,"138,000",Oracle,2018
302,Michael Coupe,Food & Drug Stores,Food & Drug Stores,London,http://www.j-sainsbury.co.uk,24,"121,200",J. Sainsbury,2018
303,Matteo Del Fante,Financials,"Insurance: Life, Health (stock)",Rome,http://www.posteitaliane.it,13,"136,555",Poste Italiane,2018
304,-,Transportation,Shipping,Copenhagen,http://www.maersk.com,15,"85,667",Maersk Group,2018
305,Sergio P. Ermotti,Financials,Banks: Commercial and Savings,Zurich,http://www.ubs.com,24,"61,253",UBS Group,2018
306,Martin Bouygues,Engineering & Construction,Engineering & Construction,Paris,http://www.bouygues.com,24,"115,530",Bouygues,2018
307,Galen G. Weston,Food & Drug Stores,Food & Drug Stores,"Toronto, Ontario, Canada",http://www.weston.ca,24,"198,000",George Weston,2018
308,Akio Negishi,Financials,"Insurance: Life, Health (Mutual)",Tokyo,http://www.meijiyasuda.co.jp,24,"42,261",Meiji Yasuda Life Insurance,2018
309,Markus Mosa,Wholesalers,Wholesalers: Food and Grocery,Hamburg,http://www.edeka-verbund.de,20,"369,000",Edeka Zentrale,2018
310,Shunichi Miyanaga,Industrials,Industrial Machinery,Tokyo,http://www.mhi.com,24,"80,652",Mitsubishi Heavy Industries,2018
311,Zhang Zhengao,Financials,Real estate,Beijing,http://www.poly.com.cn,4,"88,407",China Poly Group,2018
312,Tatsuya Tanaka,Technology,Information Technology Services,Tokyo,http://www.fujitsu.com,24,"140,365",Fujitsu,2018
313,D. Rajkumar,Energy,Petroleum Refining,Mumbai,http://www.bharatpetroleum.in,15,"12,924",Bharat Petroleum,2018
314,Richard T. Hume,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, Fla.",http://www.techdata.com,20,"14,000",Tech Data,2018
315,Pierre Nanterme,Technology,Information Technology Services,Dublin,http://www.accenture.com,17,"425,000",Accenture,2018
316,Fujio Mitarai,Technology,"Computers, Office Equipment",Tokyo,http://www.canon.com,24,"197,776",Canon,2018
317,Iain C. Conn,Energy,Utilities,"Windsor, Britain",http://www.centrica.com,21,"34,901",Centrica,2018
318,Roger W. Ferguson Jr.,Financials,"Insurance: Life, Health (Mutual)",New York City,http://www.tiaa.org,21,"16,829",TIAA,2018
319,Guillaume Pepy,Transportation,Railroads,"St. Denis, France",http://www.sncf.com,24,"201,816",SNCF Mobilites,2018
320,Ernie L. Herrman,Retailing,Specialty Retailers,"Framingham, Mass.",http://www.tjx.com,17,"249,000",TJX,2018
321,Li Xiaopeng,Financials,Banks: Commercial and Savings,Beijing,http://www.ebchina.com,4,"66,100",China Everbright Group,2018
322,Fang Hongbo,Technology,"Electronics, Electrical Equip.","Foshan, China",http://www.midea.com,3,"101,826",Midea Group,2018
323,Carlo Messina,Financials,Banks: Commercial and Savings,"Turin, Italy",http://www.group.intesasanpaolo.com,20,"96,892",Intesa Sanpaolo,2018
324,Fabio Schvartsman,Energy,"Mining, Crude-Oil Production",Rio de Janeiro,http://www.vale.com,12,"74,098",Vale,2018
325,Nobuaki Kurumatani,Technology,"Electronics, Electrical Equip.",Tokyo,http://www.toshiba.co.jp,23,"141,256",Toshiba,2018
326,Stephen J. Squeri,Financials,Diversified Financials,New York City,http://www.americanexpress.com,24,"55,000",American Express,2018
327,James R. Quincey,"Food, Beverages & Tobacco",Beverages,Atlanta,http://www.coca-colacompany.com,24,"61,800",Coca-Cola,2018
328,Yasumori Ihara,Motor Vehicles & Parts,Motor Vehicles & Parts,"Kariya, Japan",http://www.aisin.com,17,"114,478",Aisin Seiki,2018
329,Jose Ignacio Sanchez Galan,Energy,Utilities,"Bilbao, Spain",http://www.iberdrola.com,14,"28,750",Iberdrola,2018
330,Pony Ma,Technology,Internet Services and Retailing,"Shenzhen, China",http://www.tencent.com,2,"44,796",Tencent Holdings,2018
331,Yu Liang,Financials,Real estate,"Shenzhen, China",http://www.vanke.com,3,"77,708",China Vanke,2018
332,Wang Jianping,Engineering & Construction,Engineering & Construction,Beijing,http://www.ceec.net.cn,5,"168,260",China Energy Engineering Group,2018
333,Randall T. Jones Sr.,Food & Drug Stores,Food & Drug Stores,"Lakeland, Fla.",http://www.publix.com,24,"193,000",Publix Super Markets,2018
334,Xu Lirong,Transportation,Shipping,Shanghai,http://www.coscoshipping.com,11,"100,550",China COSCO Shipping,2018
335,James E. Staley,Financials,Banks: Commercial and Savings,London,http://www.home.barclays,24,"79,900",Barclays,2018
336,Bharat B. Masrani,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",http://www.tdbank.com,19,"83,160",Toronto-Dominion Bank,2018
337,Bhavesh V. Patel,Chemicals,Chemicals,Rotterdam,http://www.lyb.com,11,"13,400",LyondellBasell Industries,2018
338,William J. Randall,Wholesalers,Trading,Hong Kong,http://www.thisisnoble.com,11,500,Noble Group,2018
339,Mark G. Parker,Apparel,Apparel,"Beaverton, Ore.",http://www.nike.com,12,"74,400",Nike,2018
340,Ulrich Spiesshofer,Industrials,Industrial Machinery,Zurich,http://www.abb.com,24,"134,800",ABB,2018
341,Takeo Higuchi,Engineering & Construction,Engineering & Construction,"Osaka, Japan",http://www.daiwahouse.co.jp,14,"60,539",Daiwa House Industry,2018
342,Wu Yansheng,Aerospace & Defense,Aerospace & Defense,Beijing,http://www.spacechina.com,4,"173,102",China Aerospace Science & Technology,2018
343,Gregory J. Goff,Energy,Petroleum Refining,San Antonio,http://www.andeavor.com,12,"14,300",Andeavor,2018
344,Al Monaco,Energy,Pipelines,"Calgary, Alberta, Canada",http://www.enbridge.com,5,"12,700",Enbridge,2018
345,Gao Hongwei,Aerospace & Defense,Aerospace & Defense,Beijing,http://www.casic.com.cn,3,"145,987",China Aerospace Science & Industry,2018
346,Kengo Sakurada,Financials,Insurance: Property and Casualty (Stock),Tokyo,http://www.sompo-hd.com,22,"48,544",Sompo Holdings,2018
347,Toshihiro Suzuki,Motor Vehicles & Parts,Motor Vehicles & Parts,"Hamamatsu, Japan",http://www.globalsuzuki.com,24,"65,179",Suzuki Motor,2018
348,Matthew Comyn,Financials,Banks: Commercial and Savings,Sydney,http://www.commbank.com.au,14,"45,614",Commonwealth Bank of Australia,2018
349,Masahiro Hashimoto,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan",http://www.sumitomolife.co.jp,24,"42,835",Sumitomo Life Insurance,2018
350,Michael J. Kasbar,Energy,Energy,Miami,http://www.wfscorp.com,7,"5,000",World Fuel Services,2018
351,Hitoshi Ochi,Chemicals,Chemicals,Tokyo,http://www.mitsubishichem-hd.co.jp,24,"69,230",Mitsubishi Chemical Holdings,2018
352,Mo Bin,Financials,Real estate,"Foshan, China",http://www.countrygarden.com.cn,2,"124,837",Country Garden Holdings,2018
353,Barry Lam,Technology,"Computers, Office Equipment","Taoyuan, Taiwan",http://www.quantatw.com,13,"109,624",Quanta Computer,2018
354,Wolfgang Kirsch,Financials,Banks: Commercial and Savings,Frankfurt,http://www.dzbank.com,24,"28,201",DZ Bank,2018
355,Christopher M. Crane,Energy,Utilities,Chicago,http://www.exeloncorp.com,15,"34,621",Exelon,2018
356,Roger W. Crandall,Financials,"Insurance: Life, Health (Mutual)","Springfield, Mass.",http://www.massmutual.com,22,"11,811",Massachusetts Mutual Life Insurance,2018
357,Eiji Hayashida,Materials,Metals,Tokyo,http://www.jfe-holdings.co.jp,16,"61,234",JFE Holdings,2018
358,Yang GuoZhan,Energy,"Mining, Crude-Oil Production","Xingtai, China",http://www.jznyjt.com,8,"118,660",Jizhong Energy Group,2018
359,Xu Xiaoxi,Wholesalers,Trading,"Xiamen, China",http://www.itgholding.com.cn,2,"19,639",Xiamen ITG Holding Group,2018
360,Zhang Jing,Wholesalers,Trading,"Guangzhou, China",http://www.cedarhd.com,1,"31,065",Cedar Holdings Group,2018
361,Huang Wenzhou,Wholesalers,Trading,"Xiamen, China",http://www.chinacdc.com,2,"21,133",Xiamen C&D,2018
362,Ryan M. Lance,Energy,"Mining, Crude-Oil Production",Houston,http://www.conocophillips.com,24,"11,400",ConocoPhillips,2018
363,Shen Bin,Materials,Metals,"Zhangjiagang, China",http://www.shasteel.cn,10,"34,634",Jiangsu Shagang Group,2018
364,Masaaki Tsuya,Motor Vehicles & Parts,Motor Vehicles & Parts,Tokyo,http://www.bridgestone.com,24,"142,669",Bridgestone,2018
365,Evan G. Greenberg,Financials,Insurance: Property and Casualty (Stock),Zurich,http://www.chubb.com,2,"31,000",Chubb,2018
366,Tatsufumi Sakai,Financials,Banks: Commercial and Savings,Tokyo,http://www.mizuho-fg.co.jp,18,"60,051",Mizuho Financial Group,2018
367,Mark Liu /C.C. Wei,Technology,Semiconductors and Other Electronic Components,"Hsinchu, Taiwan",http://www.tsmc.com,4,"48,602",Taiwan Semiconductor Manufacturing,2018
368,Rui Xiaowu,Technology,"Electronics, Electrical Equip.",Beijing,http://www.cec.com.cn,8,"137,135",China Electronics,2018
369,Long Ziping,Energy,"Mining, Crude-Oil Production","Guixi, China",http://www.jxcc.com,6,"24,416",Jiangxi Copper,2018
370,Zhou Qiang,Wholesalers,Trading,Beijing,http://www.cnaf.com,8,"12,643",China National Aviation Fuel Group,2018
371,Jay D. Debertin,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, Minn.",http://www.chsinc.com,11,"11,626",CHS,2018
372,Tidjane Thiam,Financials,Banks: Commercial and Savings,Zurich,http://www.credit-suisse.com,24,"46,840",Credit Suisse Group,2018
373,"Li Tzar Kuoi, Victor /Fok Kin Ning, Canning",Retailing,Specialty Retailers,Hong Kong,http://www.ckh.com.hk,3,"300,000",CK Hutchison Holdings,2018
374,Zhang Shuili,Wholesalers,Trading,"Xiamen City, China",http://www.xiangyu-group.com,1,"7,926",Xiamen Xiangyu Group,2018
375,Michael F. Roman,Industrials,Chemicals,"St. Paul, Minn.",http://www.3m.com,24,"91,536",3M,2018
376,Gavin E. Patterson,Telecommunications,Telecommunications,London,http://www.btplc.com,24,"105,800",BT Group,2018
377,Masamichi Kogai,Motor Vehicles & Parts,Motor Vehicles & Parts,Hiroshima,http://www.mazda.com,24,"49,755",Mazda Motor,2018
378,John Stankey,Media,Entertainment,New York City,http://www.warnermediagroup.com,17,"26,000",Time Warner,2018
379,Young-Deuk Lim,Motor Vehicles & Parts,Motor Vehicles & Parts,Seoul,http://www.mobis.co.kr,7,"29,492",Hyundai Mobis,2018
380,Xi Guohua,Materials,Metals,Beijing,http://www.xxcig.com,7,"56,701",Xinxing Cathay International Group,2018
381,Albert Manifold,Materials,"Building Materials, Glass",Dublin,http://www.crh.com,15,"89,213",CRH,2018
382,Phebe N. Novakovic,Aerospace & Defense,Aerospace & Defense,"Falls Church, Va.",http://www.generaldynamics.com,18,"98,600",General Dynamics,2018
383,Yasuyuki Yoshinaga,Motor Vehicles & Parts,Motor Vehicles & Parts,Tokyo,http://www.subaru.co.jp,16,"37,771",Subaru,2018
384,Sun Yongcai,Industrials,Industrial Machinery,Beijing,http://www.crrcgc.cc,3,"176,754",CRRC,2018
385,Paal Kibsgaard,Energy,"Oil & Gas Equipment, Services",Houston,http://www.slb.com,18,"100,000",Schlumberger,2018
386,John T. Standley,Food & Drug Stores,Food & Drug Stores,"Camp Hill, Pa.",http://www.riteaid.com,20,"48,410",Rite Aid,2018
387,Xiong Qun Li,Aerospace & Defense,Aerospace & Defense,Beijing,http://www.cetc.com.cn,3,"168,923",China Electronics Technology Group,2018
388,George R. Oliver,Industrials,Industrial Machinery,"Cork, Ireland",http://www.johnsoncontrols.com,14,"121,000",Johnson Controls International,2018
389,Stuart Parker,Financials,Insurance: Property and Casualty (Stock),San Antonio,http://www.usaa.com,5,"32,705",USAA,2018
390,Richard D. Fairbank,Financials,Banks: Commercial and Savings,"McLean, Va.",http://www.capitalone.com,8,"49,300",Capital One Financial,2018
391,Jean-Paul Agon,Household Products,Household and Personal Products,"Clichy, France",http://www.loreal.com,24,"82,606",L’Oreal,2018
392,Lei Fanpei,Industrials,Shipping,Beijing,http://www.cssc.net.cn,3,"70,009",China State Shipbuilding,2018
393,Samuel R. Allen,Industrials,Construction and Farm Machinery,"Moline, Ill.",http://www.johndeere.com,24,"60,476",Deere,2018
394,Qian Zhimin,Energy,Energy,Beijing,http://www.spic.com.cn,7,"127,182",State Power Investment,2018
395,Omar S. Ishrak,Health Care,Medical Products and Equipment,Dublin,http://www.medtronic.com,2,"102,688",Medtronic,2018
396,Zhao Jianguo,Energy,Utilities,Beijing,http://www.chd.com.cn,7,"105,006",China Huadian,2018
397,Shunichi Kito,Energy,Petroleum Refining,Tokyo,http://www.idemitsu.com,24,"8,955",Idemitsu Kosan,2018
398,Li Xiyong,Energy,"Mining, Crude-Oil Production","Shandong, China",http://www.ykjt.cn,1,"104,746",Yankuang Group,2018
399,"""Sean M. O'Connor""",Financials,Diversified Financials,New York City,http://www.intlfcstone.com,8,"1,607",INTL FCStone,2018
400,John E. Schlifske,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,http://www.northwesternmutual.com,24,"5,437",Northwestern Mutual,2018
401,Jean Pierre Mustier,Financials,Banks: Commercial and Savings,Milan,http://www.unicreditgroup.eu,23,"91,952",UniCredit Group,2018
402,A. James Teague,Energy,Pipelines,Houston,http://www.enterpriseproducts.com,8,"7,000",Enterprise Products Partners,2018
403,Jui-Tsung Chen,Technology,"Computers, Office Equipment",Taipei,http://www.compal.com,7,"63,491",Compal Electronics,2018
404,Rajesh J. Mehta,Wholesalers,Trading,"Bengaluru, India",http://www.rajeshindia.com,3,350,Rajesh Exports,2018
405,Frederic Gagey,Transportation,Airlines,Paris,http://www.airfranceklm.com,22,"80,595",Air France-KLM Group,2018
406,Alan D. Schnitzer,Financials,Insurance: Property and Casualty (Stock),New York City,http://www.travelers.com,15,"30,800",Travelers Cos.,2018
407,Pablo Isla Alvarez de Tejera,Retailing,Specialty Retailers,"Arteixo, Spain",http://www.inditex.com,3,"171,839",Inditex,2018
408,Antonio Neri,Technology,"Computers, Office Equipment","Palo Alto, Calif.",http://www.hpe.com,2,"66,000",Hewlett Packard Enterprise,2018
409,Ming-Ho Hsiung,Financials,"Insurance: Life, Health (stock)",Taipei,http://www.cathaylife.com.tw,17,"39,822",Cathay Life Insurance,2018
410,-,"Food, Beverages & Tobacco",Tobacco,New York City,http://www.pmi.com,10,"80,600",Philip Morris International,2018
411,Joos Sutter,Food & Drug Stores,Food & Drug Stores,"Basel, Switzerland",http://www.coop.ch,9,"74,532",Coop Group,2018
412,Dominic Blakemore,Business Services,Food Services,"Chertsey, Britain",http://www.compass-group.com,17,"588,112",Compass Group,2018
413,Brian C. Hartzer,Financials,Banks: Commercial and Savings,Sydney,http://www.westpac.com.au,14,"35,096",Westpac Banking,2018
414,Fabrice Zumbrunnen,Food & Drug Stores,Food & Drug Stores,Zurich,http://www.migros.ch,24,"79,303",Migros Group,2018
415,James R. Murdoch,Media,Entertainment,New York City,http://www.21cf.com,24,"21,700",Twenty-First Century Fox,2018
416,Oliver Windholz,Wholesalers,Wholesalers: Health Care,"Mannheim, Germany",http://www.phoenixgroup.eu,8,"27,638",Phoenix Pharma,2018
417,Shuichi Watanabe,Wholesalers,Wholesalers: Health Care,Tokyo,http://www.medipal.co.jp,16,"15,993",Medipal Holdings,2018
418,Antoine Frerot,Energy,Utilities,Paris,http://www.veolia.com,16,"164,385",Veolia Environnement,2018
419,Shigeki Iwane,Energy,Utilities,"Osaka, Japan",http://www.kepco.co.jp,24,"32,520",Kansai Electric Power,2018
420,Sung-Chul Hyun,Financials,"Insurance: Life, Health (stock)",Seoul,http://www.samsunglife.com,22,"5,244",Samsung Life Insurance,2018
421,Richard A. Gonzalez,Health Care,Pharmaceuticals,"North Chicago, Ill.",http://www.abbvie.com,3,"29,000",AbbVie,2018
422,Frans A. van Houten,Health Care,Medical Products and Equipment,Amsterdam,http://www.philips.com,24,"73,951",Royal Philips,2018
