id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
216,Donald J. Walker,318,"1956 (age 64 years), Canada",Canada,University of Waterloo,1956.0,2015.0
217,Sun Li,321,"September 26, 1982 (age 37 years), Shanghai, China",China,,1982.0,2015.0
218,Guillaume Pepy,322,"May 26, 1958 (age 61 years), Neuilly-sur-Seine, France",France,"École Nationale d'Administration (1984), École alsacienne, Sciences Po""",1958.0,2015.0
219,Samuel R. Allen,323,"1954 (age 66 years), Sumter, SC",United States,"Purdue University (1975), Northwestern High School, Krannert School of Management",1954.0,2015.0
220,Edward D. Breen,324,"1956 (age 64 years), Grove City, PA",United States,Grove City College (1978),1956.0,2015.0
221,Kenneth I. Chenault,325,"June 2, 1951 (age 68 years), Mineola, NY",United States,"Bowdoin College (1973), Harvard Law School, Harvard University",1951.0,2015.0
222,Nishi Vasudeva,327,"March 30, 1956 (age 64 years)",,Indian Institute of Management Calcutta,1956.0,2015.0
223,Brian Hartzer,330,"1967 (age 53 years), Manhattan, New York, NY",United States,Princeton University,1967.0,2015.0
224,Thomas J. Wilson,333,"1958 (age 62 years), St. Clair Shores, MI",United States,"Kellogg School of Management, Northwestern University, University of Michigan, Lake Shore High School",1958.0,2015.0
225,Fujio Mitarai,334,"September 23, 1935 (age 84 years), Kamae, Ōita",,Chuo University,1935.0,2015.0
226,Keith Skeoch,335,"November 1956 (age 63 years), Guisborough, United Kingdom",United Kingdom,University of Sussex,1956.0,2015.0
227,Canning Fok,336,"August 22, 1952 (age 67 years), Hong Kong",,"Saint John's University, Shanghai St. John's University, Diocesan Boys' School"", 'Siblings: Winnie Fok",1952.0,2015.0
228,David Cordani,338,"February 10, 1966 (age 54 years), Waterbury, CT",United States,"Texas A&M University, University of Hartford",1966.0,2015.0
229,Masaaki Tsuya,340,"June 22, 1952 (age 67 years), Tokyo, Japan",Japan,Hitotsubashi University,1952.0,2015.0
230,Youxi Zhang,341,,,,,2015.0
231,Li Qingkui,345,"March 1956 (age 64 years), Shandong, China",China,North China Electric Power University,1956.0,2015.0
232,Ezra Myung-Chul Chung,347,,,,,2015.0
233,Irene Rosenfeld,348,"May 3, 1953 (age 67 years), Westbury, NY",United States,"Cornell University (1977), Cornell University (1975), W. Tresper Clarke High School",1953.0,2015.0
234,Roger W. Ferguson Jr.,349,"October 28, 1951 (age 68 years), Washington, D.C.",,"Sidwell Friends School (1969), Harvard Law School, Harvard University, Pembroke College",1951.0,2015.0
235,Dariusz Jacek Krawiec,353,"September 23, 1967 (age 52 years), Kolobrzeg, Poland",Poland,,1967.0,2015.0
236,Roger W. Crandall,356,,,,,2015.0
237,Bharat Masrani,357,"May 26, 1956 (age 63 years), Uganda",Canada,"Schulich School of Business (1979), York University (1978)",1956.0,2015.0
238,Xi Jinping,358,"June 15, 1953 (age 66 years), Beijing, China",China,"Tsinghua University (1998–2002), MORE",1953.0,2015.0
239,Marco Patuano,359,"June 6, 1964 (age 55 years), Alessandria, Italy",Italy,Bocconi University,1964.0,2015.0
240,Michael D. White,360,1952 (age 68 years),,"Johns Hopkins University (1976), Boston College",1952.0,2015.0
241,Hans Vestberg,363,"June 23, 1965 (age 54 years), Hudiksvall, Sweden",Sweden,Uppsala University,1965.0,2015.0
242,Alexandre de Juniac,365,"November 10, 1962 (age 57 years), Neuilly-sur-Seine, France",France,Lycée Pasteur,1962.0,2015.0
243,Jean-Pascal Tricoire,367,"November 5, 1963 (age 56 years), Beaupréau",,"ESEO, Emlyon Business School",1963.0,2015.0
244,David J. Lesar,369,"May 30, 1953 (age 66 years), Madison, WI",,"University of Wisconsin-Madison, Wisconsin School of Business",1953.0,2015.0
245,Pierre Nanterme,374,"1959, Lyon, France",France,ESSEC Business School,1959.0,2015.0
246,James Murdoch,375,"December 13, 1972 (age 47 years), Wimbledon, London, United Kingdom",English,"Horace Mann School, Harvard University",1972.0,2015.0
247,Antoine Frérot,376,"June 3, 1958 (age 61 years), Fontainebleau, France",France,"École des ponts ParisTech, École Polytechnique",1958.0,2015.0
248,Inge Thulin,377,"November 9, 1953 (age 66 years), Malmö Municipality, Sweden",Sweden,"Gothenburg School of Economics (1978), Gothenburg University, IHM Business School",1953.0,2015.0
249,Enrique Ochoa Reza,378,"September 1, 1972 (age 47 years), Morelia, Mexico",Mexico,"Columbia University (1999–2005), MORE",1972.0,2015.0
250,Levent Çakıroğlu (Levent Cakiroglu),381,"1967 (age 53 years), Ankara, Turkey",Turkey,"Ankara University Faculty of Political Science - Civil (1988), University of Illinois at Urbana-Champaign",1967.0,2015.0
251,Eddie Lampert,383,"July 19, 1962 (age 57 years), Roslyn, NY",United States,Yale University (1984),1962.0,2015.0
252,Frans van Houten,385,"April 26, 1960 (age 60 years), Netherlands",Netherlands,Erasmus University Rotterdam,1960.0,2015.0
253,Phebe Novakovic,386,"1957 (age 63 years), Pittsburgh, PA",United States,"Wharton School of the University of Pennsylvania, Smith College",1957.0,2015.0
254,Ulf Mark Schneider,387,"September 9, 1965 (age 54 years), Neuwied, Germany",Germany,"Harvard Business School, University of St. Gallen",1965.0,2015.0
255,Todd Jones,388,"April 24, 1968 (age 52 years), Marietta, GA",United States,"Osborne High School, Magnolia High School, Jacksonville State University",1968.0,2015.0
256,Barry Lam,389,"April 24, 1949 (age 71 years), Shanghai, China",China,,1949.0,2015.0
257,Wiebe Draijer,394,"August 27, 1965 (age 54 years), Enschede, Netherlands",Netherlands,Delft University of Technology,1965.0,2015.0
