id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
294,Michel Combes,474,"March 29, 1962 (age 58 years), Boulogne-Billancourt, France",France,Paris Dauphine University,1962.0,2017.0
295,Gerald W. Schwartz,475,"November 24, 1941 (age 78 years), Winnipeg, Canada",Canada,"Harvard University, University of Manitoba, Kelvin High School",1941.0,2017.0
296,Jacques van den Broek,478,"May 24, 1960 (age 59 years), Goes, Netherlands",Netherlands,Tilburg University,1960.0,2017.0
297,Ma Huateng,479,"October 29, 1971 (age 48 years), Chaoyang, Shantou, China",China,"Shenzhen Middle School, Shenzhen University",1971.0,2017.0
298,Sang-Beom Han,480,June 1955 (age 64 years),,"Stevens Institute of Technology, Yonsei University, Yongsan High School",1955.0,2017.0
299,Karl-Johan Persson,483,"March 25, 1975 (age 45 years), London, United Kingdom",United Kingdom,"European Business School London, Enskilda Gymnasiet, Regent's University London, EBS Business School"", 'Siblings: Tom Persson",1975.0,2017.0
300,Dan Amos,484,"August 13, 1951 (age 68 years), Florida",Florida,"University of Georgia, Columbus High School",1951.0,2017.0
301,Eddie Lampert,490,"July 19, 1962 (age 57 years), Roslyn, NY",United States,Yale University (1984),1962.0,2017.0
302,Xu Xianping,491,"October 1954 (age 65 years), Longhui County, Shaoyang, China",China,,1954.0,2017.0
303,John Pettigrew,492,"October 1968 (age 51 years), Pontypridd, United Kingdom",United Kingdom,Cardiff University,1968.0,2017.0
304,Flavio Cattaneo,494,"June 27, 1963 (age 56 years), Rho, Italy",Italy,Politecnico di Milano,1963.0,2017.0
305,Xu Xiaoxi,495,"November 18, 1981 (age 38 years), Chengdu, China",China,"New York Film Academy | Battery Place, New York",1981.0,2017.0
306,Potts David T,499,,,,,2017.0
307,Friedrich Joussen,500,"April 19, 1963 (age 57 years), Duisburg, Germany",Germany,Landfermann-Gymnasium,1963.0,2017.0
