,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,country/territory,year
425,426,Samsung Life Insurance,"$29,305.80 ",3.70%,"$1,512.90 ","$259,413.50 ",46.70%,"5,420",-5,South Korea,2019
426,427,SAP,"$29,159.60 ",10.30%,"$4,818.60 ","$58,854.20 ",6.40%,"96,498",19,Germany,2019
427,428,La Poste,"$29,149.00 ",7.30%,$941.80 ,"$298,904.80 ",-1.80%,"233,076",6,France,2019
428,429,Northwestern Mutual,"$29,124.00 ",-0.70%,$783 ,"$272,167.00 ",-23%,"5,870",-28,U.S.,2019
429,430,Naturgy Energy Group,"$29,123.00 ",5.30%,"($3,330.40)","$46,441.20 ",-317.20%,"13,945",-1,Spain,2019
430,431,Migros Group,"$29,098.20 ",2%,$511.30 ,"$67,587.80 ",-2.50%,"79,913",-16,Switzerland,2019
431,432,Danone,"$29,092.30 ",4.60%,"$2,772.20 ","$50,494.30 ",0.30%,"105,783",-6,France,2019
432,433,Westpac Banking,"$29,027.90 ",1.60%,"$6,151.50 ","$636,296.90 ",1.10%,"35,029",-19,Australia,2019
433,434,KB Financial Group,"$29,000.90 ",15.80%,"$2,782.50 ","$429,854.20 ",-5%,"27,040",37,South Korea,2019
434,435,International Airlines Group,"$28,803.20 ",11.20%,"$3,404.80 ","$32,042.90 ",51%,"64,734",25,Britain,2019
435,436,Medipal Holdings,"$28,698.50 ",1.10%,$309.90 ,"$14,619.20 ",-1.30%,"15,623",-18,Japan,2019
436,437,Sumitomo Electric Industries,"$28,662.90 ",3%,"$1,064.80 ","$27,588.90 ",-2%,"272,796",-12,Japan,2019
437,438,China Datang,"$28,654.90 ",13.30%,$323.40 ,"$108,633.20 ",-5.40%,"93,800",30,China,2019
438,439,Xinjiang Guanghui Industry Investment,"$28,564.00 ",9.40%,$137 ,"$38,415.20 ",321.80%,"82,175",17,China,2019
439,440,Subaru,"$28,505.40 ",-7.30%,"$1,333.10 ","$26,951.50 ",-33%,"34,200",-56,Japan,2019
440,441,Anhui Conch Group,"$28,499.00 ",144.10%,"$1,628.90 ","$27,967.90 ",92.10%,"55,380",-,China,2019
441,442,Huaxia Life Insurance,"$28,492.80 ",87.40%,$398.80 ,"$74,401.50 ",-33.90%,"500,000",-,China,2019
442,443,CFE,"$28,457.10 ",9%,"$2,322.30 ","$84,234.70 ",-59.30%,"91,369",11,Mexico,2019
443,444,Samsung C&T,"$28,319.40 ",9.30%,"$1,556.90 ","$38,009.00 ",175.10%,"17,274",14,South Korea,2019
444,445,Adecco Group,"$28,167.10 ",5.60%,$540.50 ,"$11,107.70 ",-39.10%,"34,000",-4,Switzerland,2019
445,446,Randstad,"$28,102.20 ",7.10%,$830.80 ,"$11,359.10 ",16.70%,"38,820",4,Netherlands,2019
446,447,LafargeHolcim,"$28,088.80 ",5.80%,"$1,536.10 ","$60,579.50 ",-,"77,055",-3,Switzerland,2019
447,448,Haier Smart Home,"$27,713.60 ",17.60%,"$1,124.80 ","$24,280.10 ",9.80%,"87,447",51,China,2019
448,449,INTL FCStone,"$27,622.70 ",-6.10%,$55.50 ,"$7,824.70 ",767.20%,"1,701",-49,U.S.,2019
449,450,Anglo American,"$27,610.00 ",5.20%,"$3,549.00 ","$52,196.00 ",12.10%,"64,000",-1,Britain,2019
450,451,China Taiping Insurance Group,"$27,485.80 ",7.40%,$434 ,"$96,189.10 ",-3.40%,"75,341",14,China,2019
451,452,Mapfre Group,"$27,423.50 ",2.30%,$624.10 ,"$76,913.40 ",-21%,"35,390",-13,Spain,2019
452,453,Chubu Electric Power,"$27,374.10 ",6.30%,$716.30 ,"$54,102.50 ",6.70%,"30,321",9,Japan,2019
453,454,PBF Energy,"$27,186.10 ",24.80%,$128.30 ,"$8,005.40 ",-69.10%,"3,266",-,U.S.,2019
454,455,Cathay Life Insurance,"$27,183.40 ",-5.60%,"$1,001.50 ","$207,944.90 ",-16%,"38,694",-45,Taiwan,2019
455,456,Financi??re de l'Odet,"$27,172.70 ",31.50%,$144.10 ,"$61,194.70 ",-65.40%,"81,003",-,France,2019
456,457,Australia & New Zealand Banking Group,"$27,147.90 ",3.30%,"$4,863.40 ","$681,894.20 ",-0.30%,"39,924",-9,Australia,2019
457,458,East Japan Railway,"$27,076.10 ",1.70%,"$2,662.60 ","$75,537.00 ",2.10%,"85,718",-15,Japan,2019
458,459,OMV Group,"$27,061.30 ",18.70%,"$1,789.10 ","$42,246.40 ",195%,"20,231",-,Austria,2019
459,460,Raytheon,"$27,058.00 ",6.70%,"$2,909.00 ","$31,864.00 ",43.70%,"67,000",7,U.S.,2019
460,461,TongLing Nonferrous Metals Group,"$26,846.70 ",15.30%,($70.20),"$12,668.50 ",-,"24,848",-,China,2019
461,462,Shanxi LuAn Mining Group,"$26,840.50 ",12.80%,$1.20 ,"$35,084.40 ",139%,"100,637",33,China,2019
462,463,CJ Corp.,"$26,835.70 ",12.80%,$250.90 ,"$28,439.10 ",-38.80%,"64,832",30,South Korea,2019
463,464,Datong Coal Mine Group,"$26,697.60 ",12.70%,($181.80),"$49,898.20 ",-372%,"156,268",33,China,2019
464,465,Shanxi Coking Coal Group,"$26,692.80 ",18.20%,$141.60 ,"$49,288.00 ",19.30%,"199,872",-,China,2019
465,466,Nokia,"$26,628.10 ",2.10%,($401.30),"$45,167.90 ",-,"103,083",-9,Finland,2019
466,467,Heineken Holding,"$26,608.10 ",7.20%,"$1,134.10 ","$47,955.70 ",3%,"85,610",8,Netherlands,2019
467,468,Xiaomi,"$26,443.50 ",55.90%,"$2,049.10 ","$21,152.70 ",-,"16,683",-,China,2019
468,469,Yangquan Coal Industry Group,"$26,290.10 ",10.50%,($131.10),"$34,909.50 ",-,"129,150",25,China,2019
469,470,NEC,"$26,277.00 ",2.40%,$362.50 ,"$26,661.60 ",-12.40%,"110,595",-7,Japan,2019
470,471,Fubon Financial Holding,"$26,276.50 ",6.40%,"$1,583.40 ","$251,010.50 ",-11%,"45,174",8,Taiwan,2019
471,472,Kraft Heinz,"$26,268.00 ",0.70%,"($10,192.00)","$103,461.00 ",-193.20%,"38,000",-21,U.S.,2019
472,473,Hailiang Group,"$26,251.00 ",9.10%,$237.60 ,"$8,036.40 ",-11.50%,"19,510",-,China,2019
473,474,Flex,"$26,210.50 ",3%,$93.40 ,"$13,499.40 ",-78.20%,"200,000",-8,Singapore,2019
474,475,Xinxing Cathay International Group,"$26,207.90 ",-15.70%,$103.60 ,"$20,671.30 ",-76.40%,"52,024",-94,China,2019
475,476,Emirates Group,"$26,147.70 ",5.30%,$237.10 ,"$34,687.80 ",-68.80%,"60,282",-2,United Arab Emirates,2019
476,477,Ceconomy,"$26,129.40 ",6.90%,($252.20),"$9,842.90 ",-120.80%,"53,954",9,Germany,2019
477,478,Michelin,"$25,996.70 ",5%,"$1,979.10 ","$33,659.10 ",3.30%,"111,117",-,France,2019
478,479,National Australia Bank,"$25,942.70 ",5.70%,"$4,220.60 ","$583,429.30 ",4.90%,"33,283",6,Australia,2019
479,480,Mondelez International,"$25,938.00 ",0.20%,"$3,381.00 ","$62,729.00 ",15.70%,"80,000",-21,U.S.,2019
480,481,Adidas,"$25,920.00 ",5.10%,"$2,008.60 ","$17,844.50 ",62.40%,"57,016",-1,Germany,2019
481,482,Shanxi Jincheng Anthracite Coal Mining Group,"$25,844.70 ",4.80%,$52.60 ,"$40,137.80 ",-8.20%,"128,795",-1,China,2019
482,483,Rabobank Group,"$25,823.30 ",8.40%,"$2,235.20 ","$674,869.50 ",31.40%,"41,861",9,Netherlands,2019
483,484,Henan Energy & Chemical,"$25,781.90 ",8.80%,($133.30),"$39,328.40 ",-,"171,334",12,China,2019
484,485,China General Technology,"$25,779.10 ",11%,$442.70 ,"$25,230.80 ",7.80%,"34,752",-,China,2019
485,486,U.S. Bancorp,"$25,775.00 ",7.40%,"$7,096.00 ","$467,374.00 ",14.10%,"75,772",4,U.S.,2019
486,487,Macy's,"$25,739.00 ",3.60%,"$1,108.00 ","$19,194.00 ",-28.40%,"130,000",-14,U.S.,2019
487,488,Fomento Econ??mico Mexicano,"$25,679.00 ",5.50%,"$1,247.30 ","$29,270.30 ",-44.40%,"297,073",-1,Mexico,2019
488,489,Dollar General,"$25,625.00 ",9.20%,"$1,589.50 ","$13,204.00 ",3.30%,"135,000",-,U.S.,2019
489,490,LG Chem,"$25,617.30 ",12.70%,"$1,338.50 ","$25,942.60 ",-22.20%,"33,694",-,South Korea,2019
490,491,Onex,"$25,606.00 ",-2.60%,($663),"$45,417.00 ",-127.70%,"217,000",-44,Canada,2019
491,492,Formosa Petrochemical,"$25,462.80 ",24.10%,"$1,993.40 ","$13,201.80 ",-24.30%,"5,285",-,Taiwan,2019
492,493,Safran,"$25,191.90 ",24.40%,"$1,514.20 ","$46,428.70 ",-72%,"92,639",-,France,2019
493,494,Achmea,"$25,180.10 ",1.20%,$370.60 ,"$93,515.70 ",52.90%,"13,714",-22,Netherlands,2019
494,495,Rajesh Exports,"$25,142.60 ",-13.70%,$184.80 ,"$4,163.80 ",-5.90%,383,-90,India,2019
495,496,Nucor,"$25,067.30 ",23.80%,"$2,360.80 ","$17,920.60 ",79%,"26,300",-,U.S.,2019
496,497,Bank of Montreal,"$25,002.70 ",16.50%,"$4,235.10 ","$589,481.40 ",3.60%,"45,454",-,Canada,2019
497,498,Taikang Insurance Group,"$24,931.70 ",3.60%,"$1,794.60 ","$117,398.30 ",6.60%,"57,406",-9,China,2019
498,499,Ultrapar Holdings,"$24,816.00 ",-1%,$314.80 ,"$7,870.20 ",-36.20%,"17,034",-29,Brazil,2019
499,500,Air Liquide,"$24,796.60 ",7.10%,"$2,494.20 ","$47,983.80 ",0.60%,"66,000",-,France,2019
