,ceo,company_rank,Born,Nationality,Education,BoY
226,William M. Walsh,435,"October 25, 1961 (age 58 years), Dublin, Ireland",Ireland,"Trinity College Dublin, Ardscoil Rís, Dublin",1961.0
227,Manuel Bartlett,443,"February 23, 1936 (age 84 years), Puebla, Mexico",Mexico,"University of Paris (1959–1961), National Autonomous University of Mexico, The University of Manchester",1936.0
228,Alain Dehaze,445,"1963 (age 57 years), Belgium",Belgium,ICHEC Brussels Management School,1963.0
229,Jacques van den Broek,446,"May 24, 1960 (age 59 years), Goes, Netherlands",Netherlands,Tilburg University,1960.0
230,Jan Jenisch,447,"1966 (age 54 years), Germany",Germany,,1966.0
231,Mark Cutifani,450,"May 2, 1958 (age 61 years), Wollongong, Australia",Australia,University of Wollongong,1958.0
232,Antonio Huertas,452,"January 18, 1964 (age 56 years), Villanueva de la Serena, Spain",Spain,University of Salamanca,1964.0
233,Vincent Bolloré,456,"April 1, 1952 (age 68 years), Boulogne-Billancourt, France",France,,1952.0
234,Shayne Elliott,457,New Zealand,Zealand,"The University of Auckland, Waitakere College",
235,Thomas A. Kennedy,460,"1955 (age 65 years), United States",United States,"Rutgers University, Air Force Institute of Technology, University of California, Los Angeles",1955.0
236,Rajeev Suri,466,"October 10, 1967 (age 52 years), New Delhi, India",Singapore,"Manipal Institute of Technology (1989), Manipal Academy of Higher Education, Mangalore University",1967.0
237,Jean-François van Boxmeer,467,"September 12, 1961 (age 58 years), Ixelles, Belgium",Belgium,Université de Namur,1961.0
238,Lei Jun,468,"December 16, 1969 (age 50 years), Xiantao, China",China,"Wuhan University (1987–1991), Hubei Xiantao Middle School (1984–1987)",1969.0
239,Miguel Patricio,472,,Portugal,,
240,Zhang Yalin,475,"April 19, 1981, Dalian, China",China,,1981.0
241,Dirk Van de Put,480,"1959 (age 61 years), Mechelen, Belgium",Belgium,"Ghent University, University of Antwerp",1959.0
242,Kasper Rørsted,481,"February 24, 1962 (age 58 years), Aarhus, Denmark",Denmark,"Harvard Business School (2007–2007), MORE",1962.0
243,Wiebe Draijer,483,"August 27, 1965 (age 54 years), Enschede, Netherlands",Netherlands,Delft University of Technology,1965.0
244,Xu Xianping,485,"October 1954 (age 65 years), Longhui County, Shaoyang, China",China,,1954.0
245,Jeffrey Gennette,487,,,,
246,Gerald W. Schwartz,491,"November 24, 1941 (age 78 years), Winnipeg, Canada",Canada,"Harvard University, University of Manitoba, Kelvin High School",1941.0
247,Philippe Petitcolin,493,"September 28, 1952 (age 67 years), Bannoncourt, France",France,Centre de perfectionnement aux affaires,1952.0
248,Darryl White,497,,,"Ivey Business School, Western University",
249,Benoît Potier,500,"1957 (age 63 years), Mulhouse, France",France,"Lycée privé Sainte-Geneviève, École Centrale Paris",1957.0
