,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
154,"$29,625.00","$7,911.00","$39,801.00","$-12,459.00",26.7%,19.9%,-,Philip Morris International
155,"$29,592.30","$1,143.80","$23,570.70","$6,262.40",3.9%,4.9%,18.3%,Koç Holding
156,"$29,509.50",$162.8,"$11,032.70","$2,243.10",0.6%,1.5%,7.3%,Wistron
157,"$29,332.30","$4,593.70","$950,368.80","$63,825.80",15.7%,0.5%,7.2%,UniCredit Group
158,"$29,305.80","$1,512.90","$259,413.50","$25,904.90",5.2%,0.6%,5.8%,Samsung Life Insurance
159,"$29,159.60","$4,818.60","$58,854.20","$32,955.00",16.5%,8.2%,14.6%,SAP
160,"$29,149.00",$941.8,"$298,904.80","$13,732.00",3.2%,0.3%,6.9%,La Poste
161,"$29,124.00",$783,"$272,167.00","$22,134.00",2.7%,0.3%,3.5%,Northwestern Mutual
162,"$29,123.00","$-3,330.40","$46,441.20","$12,513.60",-11.4%,-7.2%,-26.6%,Naturgy Energy Group
163,"$29,098.20",$511.3,"$67,587.80","$18,673.60",1.8%,0.8%,2.7%,Migros Group
164,"$29,092.30","$2,772.20","$50,494.30","$18,681.20",9.5%,5.5%,14.8%,Danone
165,"$29,027.90","$6,151.50","$636,296.90","$46,674.50",21.2%,1%,13.2%,Westpac Banking
166,"$29,000.90","$2,782.50","$429,854.20","$32,001.40",9.6%,0.6%,8.7%,KB Financial Group
167,"$28,803.20","$3,404.80","$32,042.90","$7,674.10",11.8%,10.6%,44.4%,International Airlines Group
168,"$28,698.50",$309.9,"$14,619.20","$4,043.90",1.1%,2.1%,7.7%,Medipal Holdings
169,"$28,662.90","$1,064.80","$27,588.90","$13,247.20",3.7%,3.9%,8%,Sumitomo Electric Industries
170,"$28,654.90",$323.4,"$108,633.20","$13,515.50",1.1%,0.3%,2.4%,China Datang
171,"$28,564.00",$137,"$38,415.20","$5,472.20",0.5%,0.4%,2.5%,Xinjiang Guanghui Industry Investment
172,"$28,505.40","$1,333.10","$26,951.50","$14,703.70",4.7%,4.9%,9.1%,Subaru
173,"$28,499.00","$1,628.90","$27,967.90","$6,170.00",5.7%,5.8%,26.4%,Anhui Conch Group
174,"$28,492.80",$398.8,"$74,401.50","$2,403.20",1.4%,0.5%,16.6%,Huaxia Life Insurance
175,"$28,457.10","$2,322.30","$84,234.70","$36,742.40",8.2%,2.8%,6.3%,CFE
176,"$28,319.40","$1,556.90","$38,009.00","$17,878.10",5.5%,4.1%,8.7%,Samsung C&T
177,"$28,167.10",$540.5,"$11,107.70","$4,093.10",1.9%,4.9%,13.2%,Adecco Group
178,"$28,102.20",$830.8,"$11,359.10","$5,118.40",3%,7.3%,16.2%,Randstad
179,"$28,088.80","$1,536.10","$60,579.50","$27,323.90",5.5%,2.5%,5.6%,LafargeHolcim
180,"$27,713.60","$1,124.80","$24,280.10","$5,739.00",4.1%,4.6%,19.6%,Haier Smart Home
181,"$27,622.70",$55.5,"$7,824.70",$505.3,0.2%,0.7%,11%,INTL FCStone
182,"$27,610.00","$3,549.00","$52,196.00","$23,598.00",12.9%,6.8%,15%,Anglo American
183,"$27,485.80",$434,"$96,189.10","$4,207.00",1.6%,0.5%,10.3%,China Taiping Insurance Group
184,"$27,423.50",$624.1,"$76,913.40","$9,136.90",2.3%,0.8%,6.8%,Mapfre Group
185,"$27,374.10",$716.3,"$54,102.50","$15,696.90",2.6%,1.3%,4.6%,Chubu Electric Power
186,"$27,186.10",$128.3,"$8,005.40","$2,676.50",0.5%,1.6%,4.8%,PBF Energy
187,"$27,183.40","$1,001.50","$207,944.90","$11,601.80",3.7%,0.5%,8.6%,Cathay Life Insurance
188,"$27,172.70",$144.1,"$61,194.70","$4,359.40",0.5%,0.2%,3.3%,Financière de l’Odet
189,"$27,147.90","$4,863.40","$681,894.20","$42,856.40",17.9%,0.7%,11.3%,Australia & New Zealand Banking Group
190,"$27,076.10","$2,662.60","$75,537.00","$27,075.70",9.8%,3.5%,9.8%,East Japan Railway
191,"$27,061.30","$1,789.10","$42,246.40","$13,607.40",6.6%,4.2%,13.1%,OMV Group
192,"$27,058.00","$2,909.00","$31,864.00","$11,472.00",10.8%,9.1%,25.4%,Raytheon
193,"$26,846.70",$-70.2,"$12,668.50","$1,221.50",-0.3%,-0.6%,-5.7%,TongLing Nonferrous Metals Group
194,"$26,840.50",$1.2,"$35,084.40","$4,240.00",-,-,-,Shanxi LuAn Mining Group
195,"$26,835.70",$250.9,"$28,439.10","$3,637.80",0.9%,0.9%,6.9%,CJ Corp.
196,"$26,697.60",$-181.8,"$49,898.20","$6,393.90",-0.7%,-0.4%,-2.8%,Datong Coal Mine Group
197,"$26,692.80",$141.6,"$49,288.00","$5,802.80",0.5%,0.3%,2.4%,Shanxi Coking Coal Group
198,"$26,628.10",$-401.3,"$45,167.90","$17,475.30",-1.5%,-0.9%,-2.3%,Nokia
199,"$26,608.10","$1,134.10","$47,955.70","$8,181.60",4.3%,2.4%,13.9%,Heineken Holding
200,"$26,443.50","$2,049.10","$21,152.70","$10,388.30",7.7%,9.7%,19.7%,Xiaomi
201,"$26,290.10",$-131.1,"$34,909.50","$3,761.40",-0.5%,-0.4%,-3.5%,Yangquan Coal Industry Group
202,"$26,277.00",$362.5,"$26,661.60","$7,767.10",1.4%,1.4%,4.7%,NEC
203,"$26,276.50","$1,583.40","$251,010.50","$14,941.50",6%,0.6%,10.6%,Fubon Financial Holding
204,"$26,268.00","$-10,192.00","$103,461.00","$51,657.00",-38.8%,-9.9%,-19.7%,Kraft Heinz
205,"$26,251.00",$237.6,"$8,036.40","$2,507.80",0.9%,3%,9.5%,Hailiang Group
206,"$26,210.50",$93.4,"$13,499.40","$2,972.40",0.4%,0.7%,3.1%,Flex
207,"$26,207.90",$103.6,"$20,671.30","$6,064.90",0.4%,0.5%,1.7%,Xinxing Cathay International Group
208,"$26,147.70",$237.1,"$34,687.80","$10,114.90",0.9%,0.7%,2.3%,Emirates Group
209,"$26,129.40",$-252.2,"$9,842.90",$796.7,-1%,-2.6%,-31.7%,Ceconomy
210,"$25,996.70","$1,979.10","$33,659.10","$13,881.70",7.6%,5.9%,14.3%,Michelin
211,"$25,942.70","$4,220.60","$583,429.30","$38,123.90",16.3%,0.7%,11.1%,National Australia Bank
212,"$25,938.00","$3,381.00","$62,729.00","$25,637.00",13%,5.4%,13.2%,Mondelez International
213,"$25,920.00","$2,008.60","$17,844.50","$7,288.90",7.7%,11.3%,27.6%,Adidas
214,"$25,844.70",$52.6,"$40,137.80","$6,321.40",0.2%,0.1%,0.8%,Shanxi Jincheng Anthracite Coal Mining Group
215,"$25,823.30","$2,235.20","$674,869.50","$31,162.80",8.7%,0.3%,7.2%,Rabobank Group
216,"$25,781.90",$-133.3,"$39,328.40","$2,494.90",-0.5%,-0.3%,-5.3%,Henan Energy & Chemical
217,"$25,779.10",$442.7,"$25,230.80","$5,785.90",1.7%,1.8%,7.7%,China General Technology
218,"$25,775.00","$7,096.00","$467,374.00","$51,029.00",27.5%,1.5%,13.9%,U.S. Bancorp
219,"$25,739.00","$1,108.00","$19,194.00","$6,436.00",4.3%,5.8%,17.2%,Macy’s
220,"$25,679.00","$1,247.30","$29,270.30","$13,053.90",4.9%,4.3%,9.6%,Fomento Económico Mexicano
221,"$25,625.00","$1,589.50","$13,204.00","$6,417.40",6.2%,12%,24.8%,Dollar General
222,"$25,617.30","$1,338.50","$25,942.60","$15,311.50",5.2%,5.2%,8.7%,LG Chem
223,"$25,606.00",$-663,"$45,417.00","$2,562.00",-2.6%,-1.5%,-25.9%,Onex
224,"$25,462.80","$1,993.40","$13,201.80","$10,988.40",7.8%,15.1%,18.1%,Formosa Petrochemical
225,"$25,191.90","$1,514.20","$46,428.70","$13,664.60",6%,3.3%,11.1%,Safran
226,"$25,180.10",$370.6,"$93,515.70","$11,083.70",1.5%,0.4%,3.3%,Achmea
227,"$25,142.60",$184.8,"$4,163.80","$1,276.30",0.7%,4.4%,14.5%,Rajesh Exports
228,"$25,067.30","$2,360.80","$17,920.60","$9,792.10",9.4%,13.2%,24.1%,Nucor
229,"$25,002.70","$4,235.10","$589,481.40","$34,823.70",16.9%,0.7%,12.2%,Bank of Montreal
230,"$24,931.70","$1,794.60","$117,398.30","$8,477.50",7.2%,1.5%,21.2%,Taikang Insurance Group
231,"$24,816.00",$314.8,"$7,870.20","$2,438.00",1.3%,4%,12.9%,Ultrapar Holdings
232,"$24,796.60","$2,494.20","$47,983.80","$20,326.10",10.1%,5.2%,12.3%,Air Liquide
