,BoY,Born,Education,ceo,company_rank,Nationality
23,,"Tiffin, OH","University of Dayton (1982), Tiffin University (1976)",Gary R. Heminger,72.0,United States
24,1959.0,"June 28, 1959 (age 60 years), Philadelphia, PA","Wharton School of the University of Pennsylvania, University of Pennsylvania, Germantown Academy",Brian L. Roberts,75.0,United States
25,1965.0,"February 23, 1965 (age 55 years), Houston, TX","Memorial Senior High School, The University of Texas at Austin, Herod Elementary School",Michael S. Dell,84.0,United States
26,1960.0,"May 24, 1960 (age 59 years), Kansas City, KS","Wharton School of the University of Pennsylvania, United States Military Academy",Alex Gorsky,109.0,United States
27,1957.0,"July 29, 1957 (age 62 years), Chicago, IL",Robert R. McCormick School of Engineering and Applied Science at Northwestern,Ginni Rometty,114.0,United States
28,1958.0,"1958 (age 62 years), Queens, New York, NY","UCLA Anderson School of Management, University of California, Los Angeles",Brian Cornell,122.0,United States
29,1956.0,"1956 (age 64 years), Greenwood, MS","Delta State University, Pillow Academy",David P. Abney,132.0,United States
30,1966.0,1966 (age 54 years),"Haywood High School, Emory University, Emory University's Goizueta Business School, University of Memphis"", 'Children: Donavan Ellison",Marvin Ellison,133.0,United States
31,1960.0,"May 9, 1960 (age 59 years), Syracuse, NY","Corcoran High School, Binghamton University, University at Buffalo School of Management",Bob Swan,135.0,United States
32,1961.0,"1961 (age 59 years), Pottsville, PA","MIT Sloan School of Management, Immaculata University",Megan Brennan,136.0,United States
33,1958.0,"April 20, 1958 (age 61 years), Charlotte, NC","Duke University (1980), West Charlotte High School",David S. Taylor,146.0,United States
34,1944.0,"August 11, 1944 (age 75 years), Marks, MS","Yale University (1962–1966), Memphis University School, Presbyterian Day School",Frederick W. Smith,152.0,United States
35,1951.0,"February 10, 1951 (age 69 years), New York, NY","Ithaca College (1973), Oceanside High School, Roy H. Park School of Communications, The Center for Early Education",Robert Allen Iger,170.0,United States
36,1984.0,"May 14, 1984 (age 35 years), White Plains, NY","Harvard University (2002–2004), MORE",Mark Zuckerberg,184.0,United States
37,1958.0,"1958 (age 62 years), Highland, IN","Rose-Hulman Institute of Technology (1980), Highland High School",Jim Umpleby,190.0,United States
38,1955.0,"1955 (age 65 years), Gladewater, TX","White Oak High School, The University of Texas at Arlington",Kelcy Warren,194.0,United States
39,1954.0,"1954 (age 66 years), Junction City, KS","Columbia Business School, The University of Alabama, Harvard Business School",Marillyn Hewson,197.0,United States
40,1976.0,"1976 (age 44 years), Moorestown, NJ","Harvard University, Harvard Kennedy School, Harvard Medical School, The University of Chicago",Vasant Narasimhan,201.0,United States
41,1962.0,"1962 (age 58 years), Hartsdale, NY","Hamilton College, Edgemont Jr./Sr. High School",David M. Solomon,204.0,United States
42,,"Grayson, GA","University of North Carolina at Chapel Hill (1983–1987), Rocky Mt High School",Chuck Robbins,225.0,United States
43,1966.0,"February 10, 1966 (age 54 years), Waterbury, CT","Texas A&M University, University of Hartford",David Cordani,229.0,United States
44,1957.0,"June 6, 1957 (age 62 years), Poughkeepsie, NY","St. Bonaventure University, Our Lady of Lourdes High School",Ed Bastian,260.0,United States
45,1961.0,"1961 (age 59 years), Liverpool, United Kingdom",Hartwick College,David H. Long,278.0,United States
46,1954.0,"December 17, 1954 (age 65 years), Philadelphia, PA","Harvard Law School (1978), Penn State University (1975), Northeast High School",Kenneth C. Frazier,285.0,United States
47,1959.0,"January 1959 (age 61 years), California","La Quinta High School, Marshall Business School, USC, University of Southern California, Pepperdine University",Oscar Munoz,293.0,United States
48,1958.0,"1958 (age 62 years), St. Clair Shores, MI","Kellogg School of Management, Northwestern University, University of Michigan, Lake Shore High School",Thomas J. Wilson,308.0,United States
49,,"Butte, MT","Montana Tech (1984), Great Falls High School",Ryan Lance,319.0,United States
50,1956.0,"December 27, 1956 (age 63 years), Boston, MA",Bowdoin College,Jes Staley,320.0,United States
51,1960.0,"April 30, 1960 (age 59 years), Evanston, IL","Stanford Graduate School of Business, Dartmouth College, New Trier Township High School Winnetka",John Donahoe,341.0,United States
52,1957.0,"1957 (age 63 years), Pittsburgh, PA","Wharton School of the University of Pennsylvania, Smith College",Phebe Novakovic,343.0,United States
53,1954.0,"January 21, 1954 (age 66 years)",University of Houston,Richard A. Gonzalez,381.0,United States
54,1967.0,"May 10, 1967 (age 52 years), Argentina",National Technological University,Antonio Neri,404.0,United States
55,1955.0,"1955 (age 65 years), Minneapolis, MN","Stanford Graduate School of Business (1980), Stanford University (1978), Culver Academies",Miles D. White,408.0,United States
56,1961.0,"August 18, 1961 (age 58 years), Flushing, New York, NY","Dowling College, University of Pennsylvania, MORE",Bill McDermott,427.0,United States
57,1972.0,"June 10, 1972 (age 47 years), Madurai, India","Wharton School of the University of Pennsylvania, MORE",Sundar Pichai,37.0,India
58,1962.0,"1962 (age 58 years), Argentina",Instituto Tecnológico de Buenos Aires,Juan Ricardo Luciano,155.0,Argentina
59,1964.0,"1964 (age 56 years), Melbourne, Australia",University of Melbourne,Jeremy Weir,22.0,Australia
60,1958.0,"July 14, 1958 (age 61 years), Melbourne, Australia","Columbia Business School, Newman College, University of Melbourne, Columbia University, Xavier College', ""Children: Caroline D'Arcy Gorman, Caroline Gorman"", 'Siblings: Katherine Williams",James P. Gorman,218.0,Australia
61,1958.0,"May 2, 1958 (age 61 years), Wollongong, Australia",University of Wollongong,Mark Cutifani,450.0,Australia
62,1967.0,"November 17, 1967 (age 52 years), Austria","University of York, University of Innsbruck",Severin Schwan,163.0,Austria
63,1956.0,"1956 (age 64 years), Bangladesh","King's College London, St. Joseph Higher Secondary School""",Omar Ishrak,419.0,Bangladesh
64,1963.0,"1963 (age 57 years), Belgium",ICHEC Brussels Management School,Alain Dehaze,445.0,Belgium
65,1961.0,"September 12, 1961 (age 58 years), Ixelles, Belgium",Université de Namur,Jean-François van Boxmeer,467.0,Belgium
66,1959.0,"1959 (age 61 years), Mechelen, Belgium","Ghent University, University of Antwerp",Dirk Van de Put,480.0,Belgium
67,1947.0,"May 8, 1947 (age 72 years), Hamilton, Bermuda","Saint Joseph's University, Trenton Catholic Academy""",Brian Duperreault,235.0,Bermuda
68,1958.0,"December 5, 1958 (age 61 years), State of São Paulo, Brazil","Escola de Administração de Empresas de São Paulo (1980), Santa Cruz School",Candido Botelho Bracher,191.0,Brazil
69,,"Rio de Janeiro, State of Rio de Janeiro, Brazil","University of Rochester, PUC-Rio, Fundação Getúlio Vargas",Pedro Guimarães,305.0,Brazil
70,1960.0,"1960 (age 60 years), Rio de Janeiro, State of Rio de Janeiro, Brazil","Stanford Graduate School of Business, Universidade Federal do Rio de Janeiro",Carlos Brito,192.0,Brazil
71,1969.0,"June 1969 (age 50 years), Barrow-in-Furness, United Kingdom","University of Oxford, St Swithun's School"", 'Parents: Robert Walmsley, Christina V Melvill",Emma Walmsley,296.0,United Kingdom
72,1965.0,"January 8, 1965 (age 55 years), London, United Kingdom","King Edward's School, University of Liverpool""",James Quincey,395.0,United Kingdom
73,1950.0,"September 18, 1950 (age 69 years), California","Stanford University, Stanford Graduate School of Business",Richard Fairbank,387.0,California
74,1965.0,"1965 (age 55 years), Winnipeg, Canada",,Bruce Flatt,180.0,Canada
75,,"Montreal, Canada","Ivey Business School, John Rennie High School, University of Waterloo",David I. McKay,256.0,Canada
76,1956.0,"1956 (age 64 years), Canada",University of Waterloo,Donald J. Walker,299.0,Canada
77,1956.0,"October 26, 1956 (age 63 years), Ottawa, Canada",Concordia University,André Desmarais,331.0,Canada
78,1960.0,"April 9, 1960 (age 60 years), Canada",San Diego State University,Michael A. Wells,372.0,Canada
79,1941.0,"November 24, 1941 (age 78 years), Winnipeg, Canada","Harvard University, University of Manitoba, Kelvin High School",Gerald W. Schwartz,491.0,Canada
80,,,,,,Canada
81,,,,,,Canada
82,1956.0,"May 26, 1956 (age 63 years), Uganda","Schulich School of Business (1979), York University (1978)",Bharat Masrani,295.0,Canada
83,1955.0,"December 1955 (age 64 years), China",Zhongnan University of Economics and Law,Ma Mingzhe,29.0,China
84,1959.0,"1959 (age 61 years), China",Beijing University of Posts and Telecommunications,Li Yue,56.0,China
85,1944.0,"October 25, 1944 (age 75 years), Zhenning Buyei and Miao Autonomous County, Anshun, China",Chongqing University,Ren Zhengfei,61.0,China
86,1958.0,"November 9, 1958 (age 61 years), Binzhou, China","Joseph M. Katz Graduate School of Business, Shandong University, University of Pittsburgh",Ning Gaoning,88.0,China
87,1968.0,"1968 (age 52 years), Anhui, China","Anhui Qianshan Yezhai Middle School, Nanjing University",Wang Wenyin,119.0,China
88,1956.0,"October 1956 (age 63 years), China","Tsinghua University High School, Beijing International Studies University",Chang Zhenming,137.0,China
89,1956.0,"March 1956 (age 64 years), Lufeng, Guangdong, Shanwei, China",Nanjing Normal University,Chen Jianhua,181.0,China
90,1964.0,"1964 (age 56 years), Zhejiang, China",Jiangshan High School,He Qing,199.0,China
91,1963.0,"June 25, 1963 (age 56 years), Taizhou, China","Hubei University of Economics, Yanshan University, Harbin University of Science and Technology",Li Shufu,220.0,China
92,1975.0,"March 13, 1975 (age 45 years), China",,Li Jianhong,244.0,China
93,1982.0,"August 29, 1982 (age 37 years), China",Central Academy of Drama,Zhang Bo,273.0,China
94,1960.0,"April 25, 1960 (age 59 years), Huangmei County, Huanggang, China",Southwest University of Political Science & Law,Zhou Qiang,283.0,China
95,1981.0,"November 18, 1981 (age 38 years), Chengdu, China","New York Film Academy | Battery Place, New York",Xu Xiaoxi,291.0,China
96,1967.0,"1967 (age 53 years), Anhui, China",East China Normal University,Paul Fang,312.0,China
97,1949.0,"April 24, 1949 (age 70 years), Shanghai, China",,Barry Lam,365.0,China
98,1954.0,"August 1954 (age 65 years), Nanjing, China","Zhongnan University of Economics and Law, MORE",Dong Mingzhu,414.0,China
99,1981.0,"April 19, 1981, Dalian, China",,Zhang Yalin,475.0,China
100,1954.0,"October 1954 (age 65 years), Longhui County, Shaoyang, China",,Xu Xianping,485.0,China
101,1958.0,"October 9, 1958 (age 61 years), Taikang County, Zhoukou, China",Wuhan University of Science and Technology,Xu Jiayin,138.0,China
102,,"Lailongzhen, Suqian, China","China Europe International Business School, Renmin University of China",Liu Qiangdong,139.0,China
103,1972.0,"1972 (age 48 years), Shanghai, China",Shanghai University of Finance and Economics,Daniel Zhang,182.0,China
104,1964.0,"November 12, 1964 (age 55 years), Hefei, China","Shanghai Jiao Tong University, University of Science and Technology of China",Yang Yuanqing,212.0,China
105,1971.0,"October 29, 1971 (age 48 years), Chaoyang, Shantou, China","Shenzhen Middle School, Shenzhen University",Ma Huateng,237.0,China
106,1969.0,"December 16, 1969 (age 50 years), Xiantao, China","Wuhan University (1987–1991), Hubei Xiantao Middle School (1984–1987)",Lei Jun,468.0,China
107,1962.0,"February 24, 1962 (age 58 years), Aarhus, Denmark","Harvard Business School (2007–2007), MORE",Kasper Rørsted,481.0,Denmark
108,1964.0,"August 20, 1964 (age 55 years), Denmark","IMD Business School, Copenhagen Business School",Søren Skou,294.0,Denmark
109,1963.0,"June 24, 1963 (age 56 years), Le Petit-Quevilly, France",École Polytechnique,Patrick Pouyanné,20.0,France
110,1972.0,"October 4, 1972 (age 47 years), Saint-Étienne, France","École Nationale d'Administration (1997–1999), Sciences Po""",Alexandre Bompard,81.0,France
111,1959.0,"August 31, 1959 (age 60 years), Nîmes, France",ENSAE Paris,Philippe Brassac,91.0,France
112,1960.0,"July 26, 1960 (age 59 years), Suresnes, France",École Polytechnique,Philippe Donnet,92.0,France
113,1961.0,"July 14, 1961 (age 58 years), Clichy, France","École Polytechnique, Lycée Louis-le-Grand",Jean-Laurent Bonnafé,104.0,France
114,1955.0,"March 18, 1955 (age 65 years), Suresnes, France","École Polytechnique, Télécom Paris",Jean-Bernard Lévy,110.0,France
115,1968.0,"February 22, 1968 (age 52 years), Cherbourg-Octeville, Cherbourg-en-Cotentin, France","Institut supérieur de l'aéronautique et de l'espace, École nationale supérieure de l'aéronautique et de l'espace""",Guillaume Faury,123.0,France
116,1966.0,"December 9, 1966 (age 53 years), Neuilly-sur-Seine, France","École Normale Supérieure (1987), Mines ParisTech",Isabelle Kocher,126.0,France
117,1963.0,"May 30, 1963 (age 56 years), France","Master of Business Administration, Paris Dauphine University",Thierry Bolloré,143.0,France
118,1963.0,"July 3, 1963 (age 56 years), Paris, France","Sciences Po, École Nationale d'Administration, École Polytechnique""",Frédéric Oudéa,174.0,France
119,1954.0,"June 27, 1954 (age 65 years), Paris, France","École des ponts ParisTech, École Polytechnique",Xavier Huillard,206.0,France
120,1958.0,"April 12, 1958 (age 62 years), Vichy, France","ESSEC Business School, Établissement La Rochefoucauld : École, collège, et lycée catholique",Pierre-André de Chalendar,226.0,France
121,1961.0,"August 24, 1961 (age 58 years), Gironde, France",HEC Paris,Stéphane Richard,228.0,France
122,1952.0,"May 3, 1952 (age 67 years), Suresnes, France",Janson de Sailly School,Martin Bouygues,287.0,France
123,1956.0,"February 1956 (age 64 years), France",Paris Descartes University,Olivier Brandicourt,288.0,France
124,1971.0,"October 1971 (age 48 years), Orléans, France",École Centrale Paris,Jean-Sébastien Jacques,303.0,France
125,1958.0,"May 26, 1958 (age 61 years), Neuilly-sur-Seine, France","École Nationale d'Administration (1984), École alsacienne, Sciences Po""",Guillaume Pepy,326.0,France
126,,France,"École nationale supérieure d’électronique, informatique, télécommunications, mathématique et mécanique de Bordeaux, MORE",Olivier Le Peuch,379.0,France
127,,France,,Jack Bowles,384.0,France
128,1958.0,"June 3, 1958 (age 61 years), Fontainebleau, France","École des ponts ParisTech, École Polytechnique",Antoine Frérot,407.0,France
129,1956.0,"March 11, 1956 (age 64 years), Sarralbe, France","École Nationale d'Administration, Sciences Po, Pantheon-Sorbonne University"", 'Parents: Georgette Meyer, Adrien Wahl",Philippe Wahl,428.0,France
130,1964.0,"January 22, 1964 (age 56 years), Grenoble, France",HEC Paris,Emmanuel Faber,432.0,France
131,1952.0,"September 28, 1952 (age 67 years), Bannoncourt, France",Centre de perfectionnement aux affaires,Philippe Petitcolin,493.0,France
132,1957.0,"1957 (age 63 years), Mulhouse, France","Lycée privé Sainte-Geneviève, École Centrale Paris",Benoît Potier,500.0,France
133,1956.0,"July 6, 1956 (age 63 years), Boulogne-Billancourt, France",HEC Paris,Jean Paul Agon,396.0,France
134,1952.0,"April 1, 1952 (age 68 years), Boulogne-Billancourt, France",,Vincent Bolloré,456.0,France
135,1951.0,"July 25, 1951 (age 68 years), Casablanca, Morocco",,Sidney Toledano,187.0,"French, Moroccan"
136,1965.0,"September 9, 1965 (age 54 years), Neuwied, Germany","Harvard Business School, University of St. Gallen",Ulf Mark Schneider,76.0,Germany
137,1958.0,"October 24, 1958 (age 61 years), Munich, Germany","Technische Universität München (1987), MORE",Herbert Diess,9.0,Germany
138,1965.0,"March 1, 1965 (age 55 years), Bergisch Gladbach, Germany","University of Cologne (1988–1993), NYU Stern School of Business (1988–1993)",Oliver Bäte,45.0,Germany
139,1973.0,"March 24, 1973 (age 47 years), Cologne, Germany","WHU - Otto Beisheim School of Management, Lancaster University, University of St. Gallen",Thomas Buberl,46.0,Germany
140,1965.0,"October 13, 1965 (age 54 years), Freiburg im Breisgau, Germany","RWTH Aachen University (1991), MORE",Harald Krüger,53.0,Germany
141,1957.0,"June 23, 1957 (age 62 years), Arnbruck, Germany",Ostbayerische Technische Hochschule (OTH) Regensburg,Joe Kaeser,70.0,Germany
142,1956.0,"November 30, 1956 (age 63 years), Uhingen, Germany","University of Stuttgart (1985), University of Stuttgart (1981)",Volkmar Denner,77.0,Germany
143,1962.0,"September 18, 1962 (age 57 years), Solingen, Germany",University of Cologne,Timotheus Höttges,90.0,Germany
144,1961.0,"May 5, 1961 (age 58 years), Stuttgart, Germany",Karlsruhe Institute of Technology,Martin Brudermüller,115.0,Germany
145,1961.0,"July 29, 1961 (age 58 years), Hamburg, Germany","ETH Zürich (2001), Ludwig Maximilian University of Munich",Frank Appel,124.0,Germany
146,1957.0,"June 17, 1957 (age 62 years), Mönchengladbach, Germany",RWTH Aachen University,Rolf Martin Schmitz,183.0,Germany
147,1959.0,"January 29, 1959 (age 61 years), Dossenheim, Germany",University of Stuttgart,Elmar Degenhart,205.0,Germany
148,1967.0,"November 22, 1967 (age 52 years), Schüttorf, Germany","Saarland University, Bielefeld University",Guido Kerkhoff,215.0,Germany
149,1970.0,"April 24, 1970 (age 49 years), Bünde, Germany","Frankfurt School of Finance & Management (1992–1994), MORE",Christian Sewing,239.0,Germany
150,1962.0,"October 6, 1962 (age 57 years), Krefeld, Germany","University of Cologne, RWTH Aachen University",Werner Baumann,240.0,Germany
151,1959.0,"October 9, 1959 (age 60 years), Hildesheim, Germany",University of Göttingen,Johannes Teyssen,348.0,Germany
152,1966.0,"1966 (age 54 years), Germany",,Jan Jenisch,447.0,Germany
153,,,,,,Germany
154,,,,,,Germany
155,,,,,,Germany
156,1958.0,"1958 (age 62 years), Archaeological Site of Olympia, Greece","INSEAD Europe Campus, Swiss Federal Institute of Technology Lausanne",André Calantzopoulos,422.0,Greece
157,1959.0,"June 20, 1959 (age 60 years), Illinois","Illinois Wesleyan University (1981), University of Illinois at Urbana-Champaign",Michael L. Tipsord,108.0,Illinois
158,1964.0,"October 1964 (age 55 years), Illinois",Illinois State University,Tricia Griffith,391.0,Illinois
159,1958.0,"June 27, 1958 (age 61 years), Kanpur, India","University of California, Berkeley",Sanjay Mehrotra,409.0,India
160,1950.0,"June 15, 1950 (age 69 years), Sadulpur, India",,Lakshmi Mittal,120.0,India
161,1961.0,"October 25, 1961 (age 58 years), Dublin, Ireland","Trinity College Dublin, Ardscoil Rís, Dublin",William M. Walsh,435.0,Ireland
162,1961.0,"December 1, 1961 (age 58 years), Holon, Israel","Penn Law (1986), MORE",Safra Catz,307.0,Israel
163,1941.0,"June 4, 1941 (age 78 years), Pescara, Italy","University of Milan, Politecnico di Milano",Stefano Pessina,40.0,Italy
164,1955.0,"1955 (age 65 years), Milan, Italy",University of Milan,Claudio Descalzi,83.0,Italy
165,1955.0,"1955 (age 65 years), Rome, Italy",Politecnico di Milano,Francesco Starace,89.0,Italy
166,1959.0,"June 16, 1959 (age 60 years), Naples, Italy","University of Rochester, Sapienza University of Rome",Mario Greco,238.0,Italy
167,1962.0,"July 29, 1962 (age 57 years), Côte d'Ivoire"", 'Spouse: Annette Thiam","INSEAD Europe Campus (1986–1988), MORE', ""Siblings: Abdel Aziz Thiam, Yamousso Thiam, Augustin Thiam, Papa Ababakar Thiam, Daouda Thiam, N'deye Anna Thiam"", 'Nationality: Ivorian, French",Tidjane Thiam,360.0,"Ivorian, French"
168,1955.0,"July 31, 1955 (age 64 years), Hyogo, Japan",Hyogo Prefectural Nagata High School,Takehiko Kakiuchi,33.0,Japan
169,1959.0,"May 19, 1959 (age 60 years), Japan",Tokyo City University,Takahiro Hachigo,34.0,Japan
170,1948.0,"November 18, 1948 (age 71 years), Otaru, Hokkaido, Japan",Hitotsubashi University,Masatsugu Nagato,52.0,Japan
171,1951.0,"June 17, 1951 (age 68 years), Yokkaichi, Mie, Japan",Babson College,Motoya Okada,118.0,Japan
172,1956.0,"November 14, 1956 (age 63 years), Osaka, Osaka, Japan","University of California, Santa Barbara (1986), Osaka University (1979)",Kazuhiro Tsuga,131.0,Japan
173,1957.0,"October 4, 1957 (age 62 years), Tokyo, Japan",Aoyama Gakuin,Ryūichi Isaka,159.0,Japan
174,1959.0,"March 1959 (age 61 years), Shizuoka, Japan",,Toshihiro Suzuki,357.0,Japan
175,1952.0,"June 22, 1952 (age 67 years), Tokyo, Japan",Hitotsubashi University,Masaaki Tsuya,374.0,Japan
176,1956.0,"May 3, 1956 (age 63 years), Nagoya, Aichi, Japan","Babson College, Keio University",Akio Toyoda,10.0,Japan
177,1957.0,"August 11, 1957 (age 62 years), Tosu, Saga, Japan","University of California, Berkeley (1980), MORE",Masayoshi Son,98.0,Japan
178,1994.0,"May 28, 1994 (age 25 years), Seoul, South Korea","Conservatoire National Supérieur de Musique et de Danse de Paris, MORE",Seong-Jin Cho,185.0,Korea
179,1961.0,"1961 (age 59 years), Malaysia",Malay College Kuala Kangsar,Wan Zulkiflee,158.0,Malaysia
180,1936.0,"February 23, 1936 (age 84 years), Puebla, Mexico","University of Paris (1959–1961), National Autonomous University of Mexico, The University of Manchester",Manuel Bartlett,443.0,Mexico
181,1958.0,"April 23, 1958 (age 61 years), Netherlands",Delft University of Technology (1981–1983),Ben van Beurden,3.0,Netherlands
182,1966.0,"1966 (age 54 years), Simpelveld, Netherlands",Tilburg University,Ralph Hamers,310.0,Netherlands
183,1960.0,"May 24, 1960 (age 59 years), Goes, Netherlands",Tilburg University,Jacques van den Broek,446.0,Netherlands
184,1965.0,"August 27, 1965 (age 54 years), Enschede, Netherlands",Delft University of Technology,Wiebe Draijer,483.0,Netherlands
185,1956.0,"February 8, 1956 (age 64 years), Vartdal, Norway",NHH Norwegian School of Economics,Eldar Sætre,113.0,Norway
186,1976.0,"January 2, 1976 (age 44 years), Myslenice, Poland","Private College of Environmental Protection (2014), Gdańska Fundacja Kształcenia Menedżerów",Daniel Obajtek,410.0,Poland
187,1958.0,"August 14, 1958 (age 61 years), Lisbon, Portugal",École Centrale Paris (1981),Carlos Tavares,96.0,Portugal
188,,,,Miguel Patricio,472.0,Portugal
189,1960.0,"September 7, 1960 (age 59 years), Russian Soviet Federative Socialist Republic",Saint Petersburg State University,Igor Sechin,86.0,Republic
190,1964.0,"February 8, 1964 (age 56 years), Panfilovo, Kazakhstan","Saint Petersburg State University (1990–1993), MORE",Herman Gref,255.0,"Russian, German"
191,1960.0,1960 (age 60 years),جامعة الملك فهد للبترول والمعادن,Amin H. Nasser,6.0,Saudi
192,1951.0,"1951 (age 69 years), Singapore","English College Johore Bahru, NUS Business School, Desautels Faculty of Management",Kuok Khoon Hong,258.0,Singapore
193,1967.0,"October 10, 1967 (age 52 years), New Delhi, India","Manipal Institute of Technology (1989), Manipal Academy of Higher Education, Mangalore University",Rajeev Suri,466.0,Singapore
194,1960.0,"January 6, 1960 (age 60 years), León, Spain",,José Antonio Alvarez (José Antonio Álvarez Álvarez),85.0,Spain
195,1963.0,"December 12, 1963 (age 56 years), Madrid, Spain","Complutense University of Madrid, IPADE Business School, Université Libre de Bruxelles",José María Álvarez-Pallete López (José María Álvarez-Pallete),176.0,Spain
196,1963.0,"September 6, 1963 (age 56 years), Zumarraga, Spain",Campus De Bizkaia - Campus of Biscay,Josu Jon Imaz,200.0,Spain
197,1950.0,"September 30, 1950 (age 69 years), Villavieja de Yeltes, Spain","EOI Business School, Comillas Pontifical University",José Ignacio Sánchez Galán,292.0,Spain
198,1964.0,"January 22, 1964 (age 56 years), Madrid, Spain","Complutense University of Madrid, Our Lady of Remembrance College, Madrid",Pablo Isla,406.0,Spain
199,1964.0,"January 18, 1964 (age 56 years), Villanueva de la Serena, Spain",University of Salamanca,Antonio Huertas,452.0,Spain
200,1967.0,"April 28, 1967 (age 52 years), Mariestad, Sweden",Chalmers University of Technology,Martin Lundstedt,253.0,Sweden
201,1969.0,"June 11, 1969 (age 50 years), Västervik, Sweden","University of St. Gallen, Stockholm School of Economics, Danderyds gymnasium",Ola Källenius,18.0,Sweden
202,1960.0,"May 11, 1960 (age 59 years), Lugano, Switzerland",University of Oxford,Sergio Ermotti,274.0,Switzerland
203,1958.0,"August 29, 1958 (age 61 years), Baden, Switzerland","Zürcher Fachhochschule, IMD Business School, Zurich University of Applied Sciences",Peter Voser,328.0,Switzerland
204,1950.0,"October 18, 1950 (age 69 years), Banqiao District, Taipei, Taiwan","Taipei College of Maritime Technology (1966–1971), New Taipei Municipal Panchiao Senior High School",Terry Gou,23.0,Taiwan
205,1974.0,"1974 (age 46 years), Trabzon, Turkey","Tepper School of Business (1995–1997), Boğaziçi University (1991–1995)",Onur Genç,234.0,Turkey
206,1967.0,"1967 (age 53 years), Ankara, Turkey","Ankara University Faculty of Political Science - Civil (1988), University of Illinois at Urbana-Champaign",Levent Çakıroğlu (Levent Cakiroglu),423.0,Turkey
207,,,,,,United States
208,,,,,,United States
209,1968.0,"June 1968 (age 51 years), Yorkshire, United Kingdom","University of Portsmouth, Giggleswick School",John Flint,99.0,United Kingdom
210,1956.0,"December 20, 1956 (age 63 years), Scotland, United Kingdom","University of Bristol, University of St Andrews",Andrew Stewart Mackenzie,246.0,United Kingdom
211,1962.0,"October 22, 1962 (age 57 years), Edinburgh, United Kingdom","Loretto School, Imperial College London, Department of Chemical Engineering, Imperial College London",Iain Conn,311.0,United Kingdom
