,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
259,Edward H. Bastian,Transportation,Airlines,Atlanta,https://www.delta.com,25,"88,680",Delta Air Lines
260,Tae-Jong Lee,Financials,"Insurance: Life, Health (stock)",Seoul,https://www.hanwhacorp.co.kr,14,"58,070",Hanwha
261,Wang Xiaochu,Telecommunications,Telecommunications,Beijing,https://www.chinaunicom-a.com,11,"246,299",China United Network Communications
262,Yang Yue,Energy,"Mining, Crude-Oil Production","""Xi'an, China""",https://www.sxycpc.com,7,"136,016",Shaanxi Yanchang Petroleum (Group)
263,Thomas M. Rutledge,Telecommunications,Telecommunications,"Stamford, Conn.",https://www.charter.com,3,"98,000",Charter Communications
264,Guenter Butschek,Motor Vehicles & Parts,Motor Vehicles and Parts,Mumbai,https://www.tatamotors.com,10,"81,090",Tata Motors
265,Wolf-Henning Scheider,Motor Vehicles & Parts,Motor Vehicles and Parts,"Friedrichshafen, Germany",https://www.zf.com,6,"148,969",ZF Friedrichshafen
266,Theodore A. Mathas,Financials,"Insurance: Life, Health (Mutual)",New York City,https://www.newyorklife.com,25,"11,388",New York Life Insurance
267,Rubem de Freitas Novaes,Financials,Banks: Commercial and Savings,Bras?lia,https://www.bb.com.br,25,"96,889",Banco do Brasil
268,Stephen J. Squeri,Financials,Diversified Financials,New York City,https://www.americanexpress.com,25,"59,000",American Express
269,Kirt A. Walker,Financials,Insurance: Property and Casualty (Mutual),"Columbus, Ohio",https://www.nationwide.com,25,"30,472",Nationwide
270,Marcelino Fernández Verdes,Engineering & Construction,"Engineering, Construction",Madrid,https://www.grupoacs.com,15,"195,461",ACS
271,Zhang Bo,Industrials,Textiles,"Shandong, China",https://www.weiqiaocy.com,8,"106,044",Shandong Weiqiao Pioneering Group
272,Sergio P. Ermotti,Financials,Banks: Commercial and Savings,Zurich,https://www.ubs.com,25,"66,888",UBS Group
273,D. Rajkumar,Energy,Petroleum Refining,Mumbai,https://www.bharatpetroleum.in,16,"12,865",Bharat Petroleum
274,Corie Barry,Retailing,Specialty Retailers,"Richfield, Minn.",https://www.bestbuy.com,21,"125,000",Best Buy
275,Huang Wenzhou,Wholesalers,Trading,"Xiamen, China",https://www.chinacdc.com,3,"24,016",Xiamen C&D
276,David H. Long,Financials,Insurance: Property and Casualty (Stock),Boston,https://www.libertymutual.com,25,"50,000",Liberty Mutual Insurance Group
277,Xu Lirong,Transportation,Shipping,Shanghai,https://www.coscoshipping.com,12,"111,397",China COSCO Shipping
278,Ben Keswick,Motor Vehicles & Parts,Motor Vehicles and Parts,Hong Kong,https://www.jardines.com,20,"469,000",Jardine Matheson
279,Yang Zhaoqian,Energy,"Mining, Crude-Oil Production","""Xi'an, China""",https://www.shccig.com,5,"120,095",Shaanxi Coal & Chemical Industry
280,Torsten Leue,Financials,Insurance: Property and Casualty (Stock),"Hanover, Germany",https://www.talanx.com,6,"20,780",Talanx
281,Zhou Qiang,Wholesalers,Trading,Beijing,https://www.cnaf.com,9,"13,181",China National Aviation Fuel Group
282,Carsten Spohr,Transportation,Airlines,"Cologne, Germany",https://www.lufthansagroup.com,25,"115,882",Lufthansa Group
283,Kenneth C. Frazier,Health Care,Pharmaceuticals,"Kenilworth, N.J.",https://www.merck.com,25,"69,000",Merck
284,Shu Yinbiao,Energy,Energy,Beijing,https://www.chng.com.cn,11,"136,031",China Huaneng Group
285,Martin Bouygues,Engineering & Construction,"Engineering, Construction",Paris,https://www.bouygues.com,25,"129,275",Bouygues
286,Olivier Brandicourt,Health Care,Pharmaceuticals,Paris,https://www.sanofi.com,15,"104,226",Sanofi
287,Li Xiaopeng,Financials,Banks: Commercial and Savings,Beijing,https://www.ebchina.com,5,"70,000",China Everbright Group
288,Darius E. Adamczyk,Industrials,"Electronics, Electrical Equip.","Morris Plains, N.J.",https://www.honeywell.com,25,"114,000",Honeywell International
289,Xu Xiaoxi,Wholesalers,Trading,"Xiamen, China",https://www.itgholding.com.cn,3,"23,159",Xiamen ITG Holding Group
290,José Ignacio Sánchez Galán,Energy,Utilities,"Bilbao, Spain",https://www.iberdrola.com,15,"33,216",Iberdrola
291,Oscar Munoz,Transportation,Airlines,Chicago,https://www.united.com,24,"92,000",United Airlines Holdings
292,Søren Skou,Transportation,Shipping,Copenhagen,https://www.maersk.com,16,"84,404",Maersk Group
293,Bharat B. Masrani,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",https://www.td.com,20,"84,383",Toronto-Dominion Bank
294,Emma N. Walmsley,Health Care,Pharmaceuticals,"Brentford, Britain",https://www.gsk.com,25,"95,490",GlaxoSmithKline
295,Roger W. Ferguson Jr.,Financials,"Insurance: Life, Health (Mutual)",New York City,https://www.tiaa.org,22,"17,643",TIAA
296,Julie Sweet,Technology,Information Technology Services,Dublin,https://www.accenture.com,18,"459,000",Accenture
297,Donald J. Walker,Motor Vehicles & Parts,Motor Vehicles and Parts,"Aurora, Ontario, Canada",https://www.magna.com,19,"174,000",Magna International
298,Takeshi Sugiyama,Industrials,"Electronics, Electrical Equip.",Tokyo,https://www.mitsubishielectric.com,25,"145,817",Mitsubishi Electric
299,Zhang Jing,Wholesalers,Trading,"Guangzhou, China",https://www.cedarhd.com,2,"31,547",Cedar Holdings Group
300,Ian McIntosh,"Food, Beverages & Tobacco",Food Production,Rotterdam,https://www.ldc.com,6,"16,785",Louis Dreyfus
301,Jean-Sébastien Jacques,Energy,"Mining, Crude-Oil Production",London,https://www.riotinto.com,14,"47,458",Rio Tinto Group
302,Markus Mosa,Wholesalers,Wholesalers: Food and Grocery,Hamburg,https://www.edeka-verbund.de,21,"376,000",Edeka Zentrale
303,Pedro Duarte Guimaraes,Financials,Banks: Commercial and Savings,Bras?lia,https://www.caixa.gov.br,1,"84,952",Caixa Econômica Federal
304,Noel White,"Food, Beverages & Tobacco",Food Production,"Springdale, Ark.",https://www.tysonfoods.com,18,"121,000",Tyson Foods
