id,CEO,Sector,Industry,HQ Location,Employees,Website,Years on Global 500 List,company,year
269,Ian M. Narev,Financials,Banks: Commercial and Savings,"Sydney, Australia","45,948",http://www.commbank.com.au,12,Commonwealth Bank of Australia,2016
270,Ling Wen,Energy,"Mining, Crude-Oil Production","Beijing, China","208,432",http://www.shenhuagroup.com.cn,7,Shenhua Group,2016
271,Takashi Tanaka,Telecommunications,Telecommunications,"Tokyo, Japan","31,834",http://www.kddi.com,19,KDDI,2016
272,Martin Lundstedt,Motor Vehicles & Parts,Motor Vehicles and Parts,"Göteborg, Sweden","93,983",http://www.volvogroup.com,22,Volvo,2016
273,Ben Keswick,Retailing,Specialty Retailers,"Hong Kong, China","440,000",http://www.jardines.com,17,Jardine Matheson,2016
274,Paviter S. Binning,Food & Drug Stores,Food and Drug Stores,"Toronto, Ontario, Canada","196,000",http://www.weston.ca,22,George Weston,2016
275,Xu Lejiang,Materials,Metals,"Shanghai, China","124,310",http://www.baosteel.com,13,Baosteel Group,2016
276,Masaki Sakuyama,Industrials,"Electronics, Electrical Equip.","Tokyo, Japan","135,160",http://www.mitsubishielectric.com,22,Mitsubishi Electric,2016
277,Jae Hong Park,Financials,"Insurance: Life, Health (stock)","Seoul, South Korea","46,000",http://www.hanwhacorp.co.kr,11,Hanwha,2016
278,Andrew Witty,Health Care,Pharmaceuticals,"Brentford, Britain","101,255",http://www.gsk.com,22,GlaxoSmithKline,2016
279,Mark Wilson,Financials,"Insurance: Life, Health (stock)","London, Britain","29,639",http://www.aviva.com,22,Aviva,2016
280,Martin Bouygues,Engineering & Construction,"Engineering, Construction","Paris, France","120,254",http://www.bouygues.com,22,Bouygues,2016
281,Hu Wenming,Industrials,Industrial Machinery,"Beijing, China","181,781",http://www.csic.com.cn,6,China Shipbuilding Industry,2016
282,Christian Mumenthaler,Financials,Insurance: Property and Casualty (Stock),"Zurich, Switzerland","12,767",http://www.swissre.com,22,Swiss Re,2016
283,Thomas J. Wilson,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL","41,350",http://www.allstate.com,21,Allstate,2016
284,Akio Negishi,Financials,"Insurance: Life, Health (Mutual)","Tokyo, Japan","41,045",http://www.meijiyasuda.co.jp,22,Meiji Yasuda Life Insurance,2016
285,Carsten Spohr,Transportation,Airlines,"Cologne, Germany","103,158",http://www.lufthansagroup.com,22,Lufthansa Group,2016
286,Ulrich Spiesshofer,Industrials,Industrial Machinery,"Zurich, Switzerland","135,800",http://www.abb.com,22,ABB,2016
287,Paal Kibsgaard,Energy,"Oil and Gas Equipment, Services","Houston, TX","95,000",http://www.slb.com,16,Schlumberger,2016
288,Michael Coupe,Food & Drug Stores,Food and Drug Stores,"London, Britain","108,300",http://www.j-sainsbury.co.uk,22,J. Sainsbury,2016
289,Herbert K. Haas,Financials,Insurance: Property and Casualty (Stock),"Hanover, Germany","20,334",http://www.talanx.com,3,Talanx,2016
290,Guo Wenqing,Engineering & Construction,"Engineering, Construction","Beijing, China","136,104",http://www.mcc.com.cn,9,China Metallurgical Group,2016
291,Roger W. Ferguson Jr.,Financials,"Insurance: Life, Health (Mutual)","New York, NY","12,735",http://www.tiaa.org,19,TIAA,2016
292,Tidjane Thiam,Financials,Banks: Commercial and Savings,"Zurich, Switzerland","48,200",http://www.credit-suisse.com,22,Credit Suisse Group,2016
293,Ren Hongbin,Industrials,Industrial Machinery,"Beijing, China","116,722",http://www.sinomach.com.cn,6,Sinomach,2016
294,Tae Won Chey,Energy,Petroleum Refining,"Seoul, South Korea","83,000",http://www.sk.co.kr,1,SK Holdings,2016
295,José Ignacio Sánchez Galán,Energy,Utilities,"Bilbao, Spain","27,169",http://www.iberdrola.com,12,Iberdrola,2016
296,Jean-Sébastien Jacques,Energy,"Mining, Crude-Oil Production","London, Britain","54,938",http://www.riotinto.com,11,Rio Tinto Group,2016
297,David I. McKay,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada","72,839",http://www.rbc.com,22,Royal Bank of Canada,2016
298,"""Sean M. O'Connor""",Financials,Diversified Financials,"New York, NY","1,231",http://www.intlfcstone.com,7,INTL FCStone,2016
299,Carl M. Casale,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN","12,511",http://www.chsinc.com,9,CHS,2016
300,Jean Pierre Mustier,Financials,Banks: Commercial and Savings,"Milan, Italy","125,510",http://www.unicreditgroup.eu,21,UniCredit Group,2016
301,Brian P. Hannasch,Retailing,Specialty Retailers,"Laval, Quebec, Canada","80,000",http://www.couche-tard.com,3,Alimentation Couche-Tard,2016
302,Kenneth I. Chenault,Financials,Diversified Financials,"New York, NY","54,800",http://www.americanexpress.com,22,American Express,2016
303,Zeng Qinghong,Motor Vehicles & Parts,Motor Vehicles and Parts,"Guangzhou, China","67,426",http://www.gaig.com.cn,4,Guangzhou Automobile Industry Group,2016
304,Andrew Thorburn,Financials,Banks: Commercial and Savings,"Docklands, Australia","41,826",http://www.nab.com.au,21,National Australia Bank,2016
305,Francesco Caio,Financials,"Insurance: Life, Health (stock)","Rome, Italy","142,798",http://www.poste.it,11,Poste Italiane,2016
306,Donald J. Walker,Motor Vehicles & Parts,Motor Vehicles and Parts,"Aurora, Ontario, Canada","128,975",http://www.magna.com,16,Magna International,2016
307,Shunichi Miyanaga,Industrials,Industrial Machinery,"Tokyo, Japan","83,932",http://www.mhi-global.com,22,Mitsubishi Heavy Industries,2016
308,Kuniharu Nakamura,Wholesalers,Trading,"Tokyo, Japan","66,860",http://www.sumitomocorp.co.jp,22,Sumitomo,2016
309,Wang Jianping,Engineering & Construction,"Engineering, Construction","Beijing, China","169,823",http://www.ceec.net.cn,3,China Energy Engineering Group,2016
310,Young-Deuk Lim,Motor Vehicles & Parts,Motor Vehicles and Parts,"Seoul, South Korea","25,216",http://www.mobis.co.kr,5,Hyundai Mobis,2016
311,Zhang Yuliang,Financials,Real estate,"Shanghai, China","25,621",http://www.ldjt.com.cn,5,Greenland Holding Group,2016
312,Pierre Nanterme,Technology,Information Technology Services,"Dublin, Ireland","358,000",http://www.accenture.com,15,Accenture,2016
313,Tang Shuangning,Financials,Banks: Commercial and Savings,"Beijing, China","59,500",http://www.ebchina.com,2,China Everbright Group,2016
314,Shen Wenrong,Materials,Metals,"Zhangjiagang, China","36,710",http://www.shasteel.cn,8,Jiangsu Shagang Group,2016
315,Bhavesh V. Patel,Chemicals,Chemicals,"Rotterdam, Netherlands","13,000",http://www.lyb.com,9,LyondellBasell Industries,2016
316,John F. Milligan,Health Care,Pharmaceuticals,"Foster City, CA","8,000",http://www.gilead.com,2,Gilead Sciences,2016
317,Todd Jones,Food & Drug Stores,Food and Drug Stores,"Lakeland, FL","180,000",http://www.publix.com,22,Publix Super Markets,2016
318,Liu Mingzhong,Materials,Metals,"Beijing, China","64,487",http://english.xxcig.com,5,Xinxing Cathay International Group,2016
319,Guillaume Pepy,Transportation,Railroads,"St. Denis, France","196,152",http://www.sncf.com,22,SNCF Mobilités,2016
320,Stefan Sommer,Motor Vehicles & Parts,Motor Vehicles and Parts,"Friedrichshafen, Germany","138,269",http://www.zf.com,3,ZF Friedrichshafen,2016
321,Markus Mosa,Wholesalers,Wholesalers: Food and Grocery,"Hamburg, Germany","346,800",http://www.edeka-verbund.de,18,Edeka Zentrale,2016
322,Zhang Youxi,Energy,"Mining, Crude-Oil Production","Datong, China","164,365",http://www.datongcoalmine.com,4,Datong Coal Mine Group,2016
323,He Wenbo,Materials,Metals,"Beijing, China","90,653",http://www.minmetals.com,10,China Minmetals,2016
324,Hitoshi Ochi,Chemicals,Chemicals,"Tokyo, Japan","68,988",http://www.mitsubishichem-hd.co.jp,22,Mitsubishi Chemical Holdings,2016
325,He Jiuchang,Energy,"Mining, Crude-Oil Production","""Xi'an, China""","135,225",http://www.sxycpc.com,4,Shaanxi Yanchang Petroleum (Group),2016
326,Barry Lam,Technology,"Computers, Office Equipment","Taoyuan, Taiwan","90,167",http://www.quantatw.com,11,Quanta Computer,2016
327,Song Zhiping,Materials,"Building Materials, Glass","Beijing, China","171,690",http://www.cnbm.com.cn,6,China National Building Materials Group,2016
328,Li Baomin,Energy,"Mining, Crude-Oil Production","Guixi, China","26,258",http://www.jxcc.com,4,Jiangxi Copper,2016
329,Rui Xiaowu,Technology,"Electronics, Electrical Equip.","Beijing, China","127,875",http://www.cec.com.cn,6,China Electronics,2016
330,Phebe N. Novakovic,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA","99,900",http://www.generaldynamics.com,16,General Dynamics,2016
331,Li Qingkui,Energy,Utilities,"Beijing, China","109,431",http://www.chd.com.cn,5,China Huadian,2016
332,Masaya Maeda,Technology,"Computers, Office Equipment","Tokyo, Japan","189,571",http://www.canon.com,22,Canon,2016
333,Masaaki Tsuya,Motor Vehicles & Parts,Motor Vehicles and Parts,"Tokyo, Japan","144,303",http://www.bridgestone.com,22,Bridgestone,2016
334,Wolfgang Kirsch,Financials,Banks: Commercial and Savings,"Frankfurt, Germany","28,213",http://www.dzbank.com,22,DZ Bank,2016
335,Masahiro Hashimoto,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan","42,115",http://www.sumitomolife.co.jp,22,Sumitomo Life Insurance,2016
336,Brian C. Hartzer,Financials,Banks: Commercial and Savings,"Sydney, Australia","35,241",http://www.westpac.com.au,12,Westpac Banking,2016
337,Wu Huatai,Energy,"Mining, Crude-Oil Production","Taiyuan, China","218,602",http://www.sxcc.com.cn,4,Shanxi Coking Coal Group,2016
338,Ernie L. Herrman,Retailing,Specialty Retailers,"Framingham, MA","216,000",http://www.tjx.com,15,TJX,2016
339,Ryan M. Lance,Energy,"Mining, Crude-Oil Production","Houston, TX","15,900",http://www.conocophillips.com,22,ConocoPhillips,2016
340,John T. Standley,Food & Drug Stores,Food and Drug Stores,"Camp Hill, PA","70,580",http://www.riteaid.com,18,Rite Aid,2016
341,Stephan Sturm,Health Care,Health Care: Medical Facilities,"Bad Homburg, Germany","222,305",http://www.fresenius.com,7,Fresenius,2016
342,Wang Binghua,Energy,Energy,"Beijing, China","126,878",http://www.spic.com.cn,5,State Power Investment,2016
343,Mark G. Parker,Apparel,Apparel,"Beaverton, OR","62,600",http://www.nike.com,10,Nike,2016
344,Lei Fanpei,Aerospace & Defense,Aerospace and Defense,"Beijing, China","161,022",http://www.spacechina.com,2,China Aerospace Science & Technology,2016
345,Qiao Baoping,Energy,Energy,"Beijing, China","126,502",http://www.cgdc.com.cn,7,China Guodian,2016
346,Michael J. Kasbar,Wholesalers,Wholesalers: Diversified,"Miami, FL","4,700",http://www.wfscorp.com,5,World Fuel Services,2016
347,Yang Zhaoqian,Energy,"Mining, Crude-Oil Production","""Xi'an, China""","132,007",http://www.shccig.com,2,Shaanxi Coal & Chemical Industry,2016
348,Inge G. Thulin,Industrials,Miscellaneous,"St. Paul, MN","89,446",http://www.3m.com,22,3M,2016
349,Wu Qiang,Industrials,Industrial Machinery,"Beijing, China","71,257",http://www.cssc.net.cn,1,China State Shipbuilding,2016
350,Bharat B. Masrani,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada","81,483",http://www.td.com,17,Toronto-Dominion Bank,2016
351,Paul Desmarais Jr.,Financials,"Insurance: Life, Health (stock)","Montreal, Quebec, Canada","26,500",http://www.powercorporation.com,18,Power Corp. of Canada,2016
352,Irene B. Rosenfeld,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, IL","99,000",http://www.mondelezinternational.com,9,Mondelez International,2016
353,Tan Xiangdong,Transportation,Airlines,"Haikou City, China","175,600",http://www.hnagroup.com,2,HNA Group,2016
354,Jean-Pascal Tricoire,Industrials,"Electronics, Electrical Equip.","Rueil-Malmaison, France","160,843",http://www.schneider-electric.com,15,Schneider Electric,2016
355,Christopher M. Crane,Energy,Utilities,"Chicago, IL","29,762",http://www.exeloncorp.com,13,Exelon,2016
356,Yu Liang,Financials,Real estate,"Shenzhen, China","42,295",http://www.vanke.com,1,China Vanke,2016
357,Jan Frykhammar,Technology,Network and Other Communications Equipment,"Stockholm, Sweden","116,988",http://www.ericsson.com,22,LM Ericsson,2016
358,S. Varadarajan,Energy,Petroleum Refining,"Mumbai, India","13,535",http://www.bharatpetroleum.in,13,Bharat Petroleum,2016
359,Wang Tingge,Wholesalers,Trading,"Hangzhou, China","18,218",http://www.wuchanzhongda.cn,6,Wuchan Zhongda Group,2016
360,James R. Murdoch,Media,Entertainment,"New York, NY","20,500",http://www.21cf.com,22,Twenty-First Century Fox,2016
361,Ross McEwan,Financials,Banks: Commercial and Savings,"Edinburgh, Britain","93,659",http://www.rbs.com,18,Royal Bank of Scotland Group,2016
362,Shayne Elliott,Financials,Banks: Commercial and Savings,"Docklands, Australia","50,152",http://www.anz.com,13,Australia & New Zealand Banking Group,2016
363,Jean-Marc Janaillac,Transportation,Airlines,"Paris, France","93,300",http://www.airfranceklm.com,20,Air France-KLM Group,2016
364,Samuel R. Allen,Industrials,Construction and Farm Machinery,"Moline, IL","57,180",http://www.johndeere.com,22,Deere,2016
365,Rafael Villaseca Marco,Energy,Energy,"Barcelona, Spain","19,939",http://www.gasnaturalfenosa.com,8,Gas Natural Fenosa,2016
366,Richard Qiangdong Liu,Technology,Internet Services and Retailing,"Beijing, China","105,963",http://www.jd.com,1,JD.com,2016
