id,CEO,Industry,Sector,HQ Location,Website,Years on Global 500 List,company,year
306,James P. Gorman,Commercial Banks,Financials,"New York, NY",http://www.morganstanley.com,18,Morgan Stanley,2015
307,Takashi Tsukioka,Petroleum Refining,Energy,"Tokyo, Japan",http://www.idemitsu.com,21,Idemitsu Kosan,2015
308,Sergio P. Ermotti,Banks: Commercial and Savings,Financials,"Zurich, Switzerland",http://www.ubs.com,21,UBS Group,2015
309,Andrew Witty,Pharmaceuticals,Health Care,"Brentford, Britain",http://www.gsk.com,21,GlaxoSmithKline,2015
310,Francesco Caio,"Mail, Package, and Freight Delivery",Transportation,"Rome, Italy",http://www.poste.it,10,Poste Italiane,2015
311,Donnie Smith,Food Production,"Food, Beverages & Tobacco","Springdale, AR",http://www.tysonfoods.com,14,Tyson Foods,2015
312,Murilo Pinto de Oliveira Ferreira,"Mining, Crude-Oil Production",Energy,"Rio de Janeiro, Brazil",http://www.vale.com,9,Vale,2015
313,Michel M. Liès,Insurance: Property and Casualty (Stock),Financials,"Zurich, Switzerland",http://www.swissre.com,21,Swiss Re,2015
314,Markus Mosa,Wholesalers: Food and Grocery,Wholesalers,"Hamburg, Germany",http://www.edeka-verbund.de,17,Edeka Zentrale,2015
315,Wang Sheping,"Mining, Crude-Oil Production",Energy,"Xingtai, China",http://www.jznyjt.com,5,Jizhong Energy Group,2015
316,Paul Lie-Way Chen,Petroleum Refining,Energy,"Taipei, Taiwan",http://www.cpc.com.tw,16,CPC,2015
317,Steve W. Williams,Petroleum Refining,Energy,"Calgary, Alberta, Canada",http://www.suncor.com,7,Suncor Energy,2015
318,Donald J. Walker,Motor Vehicles and Parts,Motor Vehicles & Parts,"Aurora, Ontario, Canada",http://www.magna.com,15,Magna International,2015
319,Shunichi Miyanaga,Industrial Machinery,Industrials,"Tokyo, Japan",http://www.mhi-global.com,21,Mitsubishi Heavy Industries,2015
320,Stephen S. Rasmussen,Insurance: Property and Casualty (Mutual),Financials,"Columbus, OH",http://www.nationwide.com,21,Nationwide,2015
321,Sun Li,Wholesalers: Diversified,Wholesalers,"Beijing, China",http://www.cnaf.com,5,China National Aviation Fuel Group,2015
322,Guillaume Pepy,Railroads,Transportation,"St. Denis, France",http://www.sncf.com,21,SNCF,2015
323,Samuel R. Allen,Construction and Farm Machinery,Industrials,"Moline, IL",http://www.johndeere.com,21,Deere,2015
324,Edward Breen,Chemicals,Chemicals,"Wilmington, DE",http://www.dupont.com,21,DuPont,2015
325,Kenneth I. Chenault,Commercial Banks,Financials,"New York, NY",http://www.americanexpress.com,21,American Express,2015
326,Guo Wenqing,"Engineering, Construction",Engineering & Construction,"Beijing, China",http://www.mcc.com.cn,8,China Metallurgical Group,2015
327,Nishi Vasudeva,Petroleum Refining,Energy,"Mumbai, India",http://www.hindustanpetroleum.com,12,Hindustan Petroleum,2015
328,Huo Lianhong,"Insurance: Life, Health (stock)",Financials,"Shanghai, China",http://www.cpic.com.cn,5,China Pacific Insurance,2015
329,Jae Hong Park,"Insurance: Life, Health (stock)",Financials,"Seoul, South Korea",http://www.hanwhacorp.co.kr,10,Hanwha,2015
330,Brian Hartzer,Banks: Commercial and Savings,Financials,"Sydney, Australia",http://www.westpac.com.au,11,Westpac Banking,2015
331,Willem A.J. van Duin,"Insurance: Life, Health (Mutual)",Financials,"Zeist, Netherlands",http://www.achmea.nl,2,Achmea,2015
332,Jong-Ho Lee,Energy,Energy,"Daegum, South Korea",http://www.kogas.or.kr,6,Korea Gas,2015
333,Thomas J. Wilson,Insurance: Property and Casualty (Stock),Financials,"Northbrook, IL",http://www.allstate.com,20,Allstate,2015
334,Fujio Mitarai,"Computers, Office Equipment",Technology,"Tokyo, Japan",http://www.canon.com,21,Canon,2015
335,Keith Skeoch,"Insurance: Life, Health (stock)",Financials,"Edinburgh, Britain",http://www.standardlife.com,18,Standard Life,2015
