id,CEO,Industry,Sector,HQ Location,Website,Years on Global 500 List,company,year
1,C. Douglas McMillon,General Merchandisers,Retailing,"Bentonville, AR",http://www.walmart.com,21,Walmart,2015
2,Wang Yupu,Petroleum Refining,Energy,"Beijing, China",http://www.sinopec.com,17,Sinopec Group,2015
3,Ben van Beurden,Petroleum Refining,Energy,"The Hague, Netherlands",http://www.shell.com,21,Royal Dutch Shell,2015
4,Wang Yilin,Petroleum Refining,Energy,"Beijing, China",http://www.cnpc.com.cn,15,China National Petroleum,2015
5,Rex W. Tillerson,Petroleum Refining,Energy,"Irving, TX",http://www.exxonmobil.com,21,Exxon Mobil,2015
6,Robert W. Dudley,Petroleum Refining,Energy,"London, Britain",http://www.bp.com,21,BP,2015
7,Shu Yinbiao,Utilities,Energy,"Beijing, China",http://www.sgcc.com.cn,15,State Grid,2015
8,Martin Winterkorn,Motor Vehicles and Parts,Motor Vehicles & Parts,"Wolfsburg, Germany",http://www.volkswagenag.com,21,Volkswagen,2015
9,Akio Toyoda,Motor Vehicles and Parts,Motor Vehicles & Parts,"Toyota, Japan",http://www.toyota-global.com,21,Toyota Motor,2015
10,Ivan Glasenberg,"Mining, Crude-Oil Production",Energy,"Baar, Switzerland",http://www.glencore.com,5,Glencore,2015
11,Patrick Pouyanné,Petroleum Refining,Energy,"Courbevoie, France",http://www.total.com,21,Total,2015
12,John S. Watson,Petroleum Refining,Energy,"San Ramon, CA",http://www.chevron.com,21,Chevron,2015
13,Oh-Hyun Kwon,"Electronics, Electrical Equip.",Technology,"Suwon, South Korea",http://www.samsung.com,21,Samsung Electronics,2015
14,Warren E. Buffett,Insurance: Property and Casualty (Stock),Financials,"Omaha, NE",http://www.berkshirehathaway.com,19,Berkshire Hathaway,2015
15,Timothy D. Cook,"Computers, Office Equipment",Technology,"Cupertino, CA",http://www.apple.com,13,Apple,2015
16,John H. Hammergren,Wholesalers: Health Care,Health Care,"San Francisco, CA",http://www.mckesson.com,21,McKesson,2015
17,Dieter Zetsche,Motor Vehicles and Parts,Motor Vehicles & Parts,"Stuttgart, Germany",http://www.daimler.com,21,Daimler,2015
18,Yi Huiman,Banks: Commercial and Savings,Financials,"Beijing, China",http://www.icbc-ltd.com,17,Industrial & Commer. Bank of China,2015
19,John Elkann,Motor Vehicles and Parts,Motor Vehicles & Parts,"Turin, Italy",http://www.exor.com,5,EXOR Group,2015
20,Henri de Castries,"Insurance: Life, Health (stock)",Financials,"Paris, France",http://www.axa.com,21,AXA,2015
21,Mary T. Barra,Motor Vehicles and Parts,Motor Vehicles & Parts,"Detroit, MI",http://www.gm.com,21,General Motors,2015
22,Johannes Teyssen,Energy,Energy,"Düsseldorf, Germany",http://www.eon.com,21,E.ON,2015
23,Greg C. Garland,Petroleum Refining,Energy,"Houston, TX",http://www.phillips66.com,3,Phillips 66,2015
24,Jeffrey R. Immelt,Diversified Financials,Financials,"Fairfield, CT",http://www.ge.com,21,General Electric,2015
25,Claudio Descalzi,Petroleum Refining,Energy,"Rome, Italy",http://www.eni.com,21,ENI,2015
26,Alexey B. Miller,Energy,Energy,"Moscow, Russia",http://www.gazprom.com,19,Gazprom,2015
27,Mark Fields,Motor Vehicles and Parts,Motor Vehicles & Parts,"Dearborn, MI",http://www.ford.com,21,Ford Motor,2015
28,Aldemir Bendine,Petroleum Refining,Energy,"Rio de Janeiro, Brazil",http://www.petrobras.com.,21,Petrobras,2015
29,Zhang Jianguo,Banks: Commercial and Savings,Financials,"Beijing, China",http://www.ccb.com,16,China Construction Bank,2015
30,Larry J. Merlo,Food and Drug Stores,Food & Drug Stores,"Woonsocket, RI",http://www.cvshealth.com,20,CVS Health,2015
31,Terry Gou,"Electronics, Electrical Equip.",Technology,"New Taipei City, Taiwan",http://www.foxconn.com,11,Hon Hai Precision Industry,2015
32,Oliver Bäte,Insurance: Property and Casualty (Stock),Financials,"Munich, Germany",http://www.allianz.com,21,Allianz,2015
33,Randall L. Stephenson,Telecommunications,Telecommunications,"Dallas, TX",http://www.att.com,21,AT&T,2015
34,Joseph Gorder,Petroleum Refining,Energy,"San Antonio, TX",http://www.valero.com,15,Valero Energy,2015
35,Stephen J. Hemsley,Health Care: Insurance and Managed Care,Health Care,"Minnetonka, MN",http://www.unitedhealthgroup.com,19,UnitedHealth Group,2015
36,Liu Shiyu,Banks: Commercial and Savings,Financials,"Beijing, China",http://www.abchina.com,16,Agricultural Bank of China,2015
37,Guan Qing,"Engineering, Construction",Engineering & Construction,"Beijing, China",http://www.cscec.com,4,China State Construction Engineering,2015
38,Taizo Nishimuro,"Insurance: Life, Health (stock)",Financials,"Tokyo, Japan",http://www.japanpost.jp,19,Japan Post Holdings,2015
39,Eulogio Del Pino,Petroleum Refining,Energy,"Caracas, Venezuela",http://www.pdvsa.com,17,PDVSA,2015
40,Jeremy Weir,Trading,Wholesalers,"Amsterdam, Netherlands",http://www.trafigura.com,1,Trafigura Beheer,2015
41,Lowell C. McAdam,Telecommunications,Telecommunications,"New York, NY",http://www.verizon.com,21,Verizon,2015
42,Jean-Laurent Bonnafe,Banks: Commercial and Savings,Financials,"Paris, France",http://www.bnpparibas.com,21,BNP Paribas,2015
43,Vagit Y. Alekperov,Petroleum Refining,Energy,"Moscow, Russia",http://www.lukoil.com,16,Lukoil,2015
44,Takahiro Hachigo,Motor Vehicles and Parts,Motor Vehicles & Parts,"Tokyo, Japan",http://www.honda.com,21,Honda Motor,2015
45,Chen Siqing,Banks: Commercial and Savings,Financials,"Beijing, China",http://www.boc.cn,21,Bank of China,2015
46,Steven H. Collis,Wholesalers: Health Care,Health Care,"Chesterbrook, PA",http://www.amerisourcebergen.com,16,AmerisourceBergen,2015
47,Emilio Ricardo Lozoya Austin,"Mining, Crude-Oil Production",Energy,"Mexico City, Mexico",http://www.pemex.com,21,Pemex,2015
48,Mario Greco,"Insurance: Life, Health (stock)",Financials,"Trieste, Italy",http://www.generali.com,21,Assicurazioni Generali,2015
49,Frederic Oudea,Banks: Commercial and Savings,Financials,"Paris, France",http://www.societegenerale.com,19,Societe Generale,2015
50,Timothy J. Mayopoulos,Diversified Financials,Financials,"Washington, DC",http://www.fanniemae.com,18,Fannie Mae,2015
51,Igor I. Sechin,Petroleum Refining,Energy,"Moscow, Russia",http://www.rosneft.com,10,Rosneft Oil,2015
52,W. Craig Jelinek,Specialty Retailers: Other,Retailing,"Issaquah, WA",http://www.costco.com,21,Costco,2015
53,Dion J. Weisler,"Computers, Office Equipment",Technology,"Palo Alto, CA",http://www.hp.com,21,HP,2015
54,W. Rodney McMullen,Food and Drug Stores,Food & Drug Stores,"Cincinnati, OH",http://www.thekrogerco.com,21,Kroger,2015
55,Li Yue,Telecommunications,Telecommunications,"Beijing, China",http://www.10086.cn,15,China Mobile Communications,2015
56,Harald Krüger,Motor Vehicles and Parts,Motor Vehicles & Parts,"Munich, Germany",http://www.bmwgroup.com,21,BMW,2015
57,Dae-Sik Cho,Petroleum Refining,Energy,"Seoul, South Korea",http://www.sk.com,21,SK Holdings,2015
58,Philippe Brassac,Banks: Commercial and Savings,Financials,"Paris, France",http://www.credit-agricole.com,21,Credit Agricole,2015
59,Carlos Ghosn,Motor Vehicles and Parts,Motor Vehicles & Parts,"Yokohama, Japan",http://www.nissan-global.com,21,Nissan Motor,2015
60,Chen Zhixin,Motor Vehicles and Parts,Motor Vehicles & Parts,"Shanghai, China",http://www.saicmotor.com,4,SAIC Motor,2015
61,James Dimon,Commercial Banks,Financials,"New York, NY",http://www.jpmorganchase.com,21,JP Morgan Chase,2015
62,David J. Lewis,Food and Drug Stores,Food & Drug Stores,"Cheshunt, Britain",http://www.tescoplc.com,21,Tesco,2015
63,Joe Kaeser,"Electronics, Electrical Equip.",Industrials,"Munich, Germany",http://www.siemens.com,21,Siemens,2015
64,Georges Plassat,Food and Drug Stores,Food & Drug Stores,"Boulogne-Billancourt, France",http://www.carrefour.com,21,Carrefour,2015
65,Hiroo Unoura,Telecommunications,Telecommunications,"Tokyo, Japan",http://www.ntt.co.jp,21,Nippon Tel. & Tel.,2015
66,Timothy C. Wentworth,Health Care: Pharmacy and Other Services,Health Care,"St. Louis, MO",http://www.express-scripts.com,13,Express Scripts Holding,2015
67,Jose Antonio Alvarez,Banks: Commercial and Savings,Financials,"Madrid, Spain",http://www.santander.com,21,Banco Santander,2015
68,Wan Zulkiflee Wan Ariffin,Petroleum Refining,Energy,"Kuala Lumpur, Malaysia",http://www.petronas.com.my,19,Petronas,2015
69,Francesco Starace,Utilities,Energy,"Rome, Italy",http://www.enel.com,21,Enel,2015
70,Paul Bulcke,Food Consumer Products,"Food, Beverages & Tobacco","Vevey, Switzerland",http://www.nestle.com,21,Nestlé,2015
71,Yao Guiqing,"Engineering, Construction",Engineering & Construction,"Beijing, China",http://www.crecg.com,1,China Railway Engineering,2015
72,Yang Hua,"Mining, Crude-Oil Production",Energy,"Beijing, China",http://www.cnooc.com.cn,9,China National Offshore Oil,2015
73,Gerard Mestrallet,Energy,Energy,"Courbevoie, France",http://www.gdfsuez.com,20,GDF Suez,2015
74,Michael A. Wells,"Insurance: Life, Health (stock)",Financials,"London, Britain",http://www.prudential.co.uk,20,Prudential plc,2015
75,Eldar Saetre,Petroleum Refining,Energy,"Stavanger, Norway",http://www.statoil.com,21,Statoil,2015
76,Kurt W. Bock,Chemicals,Chemicals,"Ludwigshafen, Germany",http://www.basf.com,21,BASF,2015
77,Yusuf A. Alireza,Trading,Wholesalers,"Hong Kong, China",http://www.thisisnoble.com,8,Noble Group,2015
78,Jean-Bernard Levy,Utilities,Energy,"Paris, France",http://www.edf.com,21,Électricité de France,2015
79,Meng Fengchao,"Engineering, Construction",Engineering & Construction,"Beijing, China",http://www.crcc.cn,4,China Railway Construction,2015
80,Brian T. Moynihan,Commercial Banks,Financials,"Charlotte, NC",http://www.bankofamerica.com,21,Bank of America Corp.,2015
81,Stuart T. Gulliver,Banks: Commercial and Savings,Financials,"London, Britain",http://www.hsbc.com,21,HSBC Holdings,2015
82,Virginia M. Rometty,Information Technology Services,Technology,"Armonk, NY",http://www.ibm.com,21,IBM,2015
83,Gary R. Heminger,Petroleum Refining,Energy,"Findlay, OH",http://www.marathonpetroleum.com,4,Marathon Petroleum,2015
84,George S. Barrett,Wholesalers: Health Care,Health Care,"Dublin, OH",http://www.cardinal.com,18,Cardinal Health,2015
85,Dennis A. Muilenburg,Aerospace and Defense,Aerospace & Defense,"Chicago, IL",http://www.boeing.com,21,Boeing,2015
86,Michael L. Corbat,Commercial Banks,Financials,"New York, NY",http://www.citigroup.com,21,Citigroup,2015
87,Zheng Zhijie,Banks: Commercial and Savings,Financials,"Beijing, China",http://www.cdb.com.cn,2,China Development Bank,2015
88,Jeffrey P. Bezos,Internet Services and Retailing,Technology,"Seattle, WA",http://www.amazon.com,7,Amazon.com,2015
89,Hiroaki Nakanishi,"Electronics, Electrical Equip.",Industrials,"Tokyo, Japan",http://www.hitachi.com,21,Hitachi,2015
90,John G. Stumpf,Commercial Banks,Financials,"San Francisco, CA",http://www.wellsfargo.com,18,Wells Fargo,2015
91,Ralph Hamers,Banks: Commercial and Savings,Financials,"Amsterdam, Netherlands",http://www.ing.com,21,ING Group,2015
92,Yukio Uchida,Petroleum Refining,Energy,"Tokyo, Japan",http://www.hd.jx-group.co.jp,21,JX Holdings,2015
93,Pailin Chuchottaworn,Petroleum Refining,Energy,"Bangkok, Thailand",http://www.pttplc.com,12,PTT,2015
94,Yang Mingsheng,"Insurance: Life, Health (stock)",Financials,"Beijing, China",http://www.chinalife.com.cn,13,China Life Insurance,2015
95,Satya Nadella,Computer Software,Technology,"Redmond, WA",http://www.microsoft.com,18,Microsoft,2015
96,Ma Mingzhe,"Insurance: Life, Health (stock)",Financials,"Shenzhen, China",http://www.pingan.com,6,Ping An Insurance,2015
97,Olaf G. Koch,Food and Drug Stores,Food & Drug Stores,"Düsseldorf, Germany",http://www.metrogroup.de,20,Metro,2015
98,Nigel Wilson,"Insurance: Life, Health (stock)",Financials,"London, Britain",http://www.legalandgeneralgroup.com,16,Legal & General Group,2015
99,Mong-Koo Chung,Motor Vehicles and Parts,Motor Vehicles & Parts,"Seoul, South Korea",http://worldwide.hyundai.com,20,Hyundai Motor,2015
100,David S. Taylor,Household and Personal Products,Household Products,"Cincinnati, OH",http://www.pg.com,21,Procter & Gamble,2015
101,Craig A. Menear,Specialty Retailers: Other,Retailing,"Atlanta, GA",http://www.homedepot.com,21,Home Depot,2015
102,Timotheus Höttges,Telecommunications,Telecommunications,"Bonn, Germany",http://www.telekom.com,21,Deutsche Telekom,2015
103,Nikolaus von Bomhard,Insurance: Property and Casualty (Stock),Financials,"Munich, Germany",http://www.munichre.com,21,Munich Re,2015
104,Juan R. Luciano,Food Production,"Food, Beverages & Tobacco","Chicago, IL",http://www.adm.com,21,Archer Daniels Midland,2015
105,Liu Deshu,Trading,Wholesalers,"Beijing, China",http://www.sinochem.com,20,Sinochem,2015
106,Thomas Enders,Aerospace and Defense,Aerospace & Defense,"Leiden, Netherlands",http://www.airbusgroup.com,21,Airbus Group,2015
107,Xu Ping,Motor Vehicles and Parts,Motor Vehicles & Parts,"Changchun, China",http://www.faw.com.,11,China FAW Group,2015
108,Lakshmi N. Mittal,Metals,Materials,"Luxembourg, Luxembourg",http://www.arcelormittal.com,11,ArcelorMittal,2015
109,Zhu Fushou,Motor Vehicles and Parts,Motor Vehicles & Parts,"Wuhan, China",http://www.dfmc.com.cn,6,Dongfeng Motor Group,2015
110,Masayoshi Son,Telecommunications,Telecommunications,"Tokyo, Japan",http://www.softbank.jp,8,SoftBank Group,2015
111,Frank Appel,"Mail, Package, and Freight Delivery",Transportation,"Bonn, Germany",http://www.dpdhl.com,21,Deutsche Post,2015
112,Roberto Egydio Setubal,Banks: Commercial and Savings,Financials,"São Paulo, Brazil",http://www.itau.com.br,2,Itaú Unibanco Holding,2015
113,Zhao Jianguo,Utilities,Energy,"Guangzhou, China",http://www.csg.cn,11,China Southern Power Grid,2015
114,Stefano Pessina,Food and Drug Stores,Food & Drug Stores,"Deerfield, IL",http://www.walgreensbootsalliance.com,21,Walgreens,2015
115,Qiao Shibo,General Merchandisers,Retailing,"Hong Kong, China",http://www.crc.com.hk,6,China Resources National,2015
116,Kazuo Hirai,"Electronics, Electrical Equip.",Technology,"Tokyo, Japan",http://www.sony.net,21,Sony,2015
117,Brian C. Cornell,General Merchandisers,Retailing,"Minneapolis, MN",http://www.target.com,21,Target,2015
118,Alex Gorsky,Pharmaceuticals,Health Care,"New Brunswick, NJ",http://www.jnj.com,15,Johnson & Johnson,2015
119,B. Ashok,Petroleum Refining,Energy,"New Delhi, India",http://www.iocl.com,21,Indian Oil,2015
120,Joseph R. Swedish,Health Care: Insurance and Managed Care,Health Care,"Indianapolis, IN",http://www.antheminc.com,14,Anthem,2015
121,Steven A. Kandarian,"Insurance: Life, Health (stock)",Financials,"New York, NY",http://www.metlife.com,21,MetLife,2015
122,Martin Senn,Insurance: Property and Casualty (Stock),Financials,"Zurich, Switzerland",http://www.zurich.com,21,Zurich Insurance Group,2015
123,Mark Wilson,"Insurance: Life, Health (stock)",Financials,"London, Britain",http://www.aviva.com,21,Aviva,2015
124,Larry Page,Internet Services and Retailing,Technology,"Mountain View, CA",http://www.google.com,7,Alphabet,2015
125,Fumiya Kokubu,Trading,Wholesalers,"Tokyo, Japan",http://www.marubeni.com,21,Marubeni,2015
126,Alexandre Corrêa Abreu,Banks: Commercial and Savings,Financials,"""Bras'lia, Brazil""",http://www.bb.com.br,21,Banco do Brasil,2015
127,Michael L. Tipsord,Insurance: Property and Casualty (Mutual),Financials,"Bloomington, IL",http://www.statefarm.com,21,State Farm Insurance Cos.,2015
128,Carlos Tavares,Motor Vehicles and Parts,Motor Vehicles & Parts,"Paris, France",http://www.psa-peugeot-citroen.com,21,Peugeot,2015
129,Vianney Mulliez,Food and Drug Stores,Food & Drug Stores,"Croix, France",http://www.groupe-auchan.com,19,Groupe Auchan,2015
130,Dwi Soetjipto,Petroleum Refining,Energy,"Jakarta, Indonesia",http://www.pertamina.com,3,Pertamina,2015
131,Kazuhiro Tsuga,"Electronics, Electrical Equip.",Technology,"Osaka, Japan",http://www.panasonic.com,21,Panasonic,2015
132,Ken Kobayashi,Trading,Wholesalers,"Tokyo, Japan",http://www.mitsubishicorp.com,21,Mitsubishi Corp.,2015
133,Donald H. Layton,Diversified Financials,Financials,"McLean, VA",http://www.freddiemac.com,19,Freddie Mac,2015
134,François Pérol,Banks: Commercial and Savings,Financials,"Paris, France",http://www.bpce.fr,6,Groupe BPCE,2015
135,Brian L. Roberts,Telecommunications,Telecommunications,"Philadelphia, PA",http://www.comcastcorporation.com,13,Comcast,2015
136,Vittorio Colao,Telecommunications,Telecommunications,"Newbury, Britain",http://www.vodafone.com,16,Vodafone Group,2015
137,Megan Brennan,"Mail, Package, and Freight Delivery",Transportation,"Washington, DC",http://www.usps.com,21,U.S. Postal Service,2015
138,Yoshinobu Tsutsui,"Insurance: Life, Health (Mutual)",Financials,"Osaka, Japan",http://www.nissay.co.jp,21,Nippon Life Insurance,2015
139,Andrew Mackenzie,"Mining, Crude-Oil Production",Energy,"Melbourne, Australia",http://www.bhpbilliton.com,21,BHP Billiton,2015
140,Cesar Alierta Izuel,Telecommunications,Telecommunications,"Madrid, Spain",http://www.telefonica.com,21,Telefonica,2015
141,Indra K. Nooyi,Food Consumer Products,"Food, Beverages & Tobacco","Purchase, NY",http://www.pepsico.com,21,PepsiCo,2015
142,Koichiro Watanabe,"Insurance: Life, Health (stock)",Financials,"Tokyo, Japan",http://www.dai-ichi-life.co.jp,21,Dai-ichi Life Insurance,2015
143,Li Guohua,"Mail, Package, and Freight Delivery",Transportation,"Beijing, China",http://www.chinapost.com.cn,5,China Post Group,2015
144,Yin Jiaxu,Aerospace and Defense,Aerospace & Defense,"Beijing, China",http://www.norincogroup.com.cn,6,China North Industries,2015
145,Antonio Horta-Osorio,Banks: Commercial and Savings,Financials,"London, Britain",http://www.lloydsbankinggroup.com,21,Lloyds Banking Group,2015
146,Wang Yuzhu,Trading,Wholesalers,"Tianjin, China",http://www.tewoo.com,4,Tewoo Group,2015
147,Motoya Okada,General Merchandisers,Retailing,"Chiba, Japan",http://www.aeon.info,21,AEON,2015
148,-,Food and Drug Stores,Food & Drug Stores,"Paris, France",http://www.finatis.fr,1,Finatis,2015
149,Gregory J. Hayes,Aerospace and Defense,Aerospace & Defense,"Hartford, CT",http://www.utc.com,21,United Technologies,2015
150,Volkmar Denner,Motor Vehicles and Parts,Motor Vehicles & Parts,"Stuttgart, Germany",http://www.bosch.com,21,Bosch,2015
151,Claude Ehlinger,Food Production,"Food, Beverages & Tobacco","Rotterdam, Netherlands",http://www.ldcom.com,2,Louis Dreyfus Commodities,2015
152,Peter D. Hancock,Insurance: Property and Casualty (Stock),Financials,"New York, NY",http://www.aig.com,20,AIG,2015
153,Paul Polman,Food Consumer Products,"Food, Beverages & Tobacco","London, Britain/Netherlands",http://www.unilever.com,21,Unilever,2015
154,Peter Terium,Utilities: Gas and Electric,Energy,"Essen, Germany",http://www.rwe.com,21,RWE,2015
155,Daniel Hajj Aboumrad,Telecommunications,Telecommunications,"Mexico City, Mexico",http://www.americamovil.com,9,America Movil,2015
156,Yan Hao,"Engineering, Construction",Engineering & Construction,"Nanjing, China",http://www.cpcg.com.cn,2,Pacific Construction Group,2015
157,Masashi Muromachi,"Electronics, Electrical Equip.",Industrials,"Tokyo, Japan",http://www.toshiba.com,21,Toshiba,2015
158,Mukesh D. Ambani,Petroleum Refining,Energy,"Mumbai, India",http://www.ril.com,12,Reliance Industries,2015
159,Tan Ruisong,Aerospace and Defense,Aerospace & Defense,"Beijing, China",http://www.avic.com.cn,7,Aviation Industry Corp. of China,2015
160,Wang Xiaochu,Telecommunications,Telecommunications,"Beijing, China",http://www.chinatelecom.com.cn,16,China Telecommunications,2015
161,Naomi Hirose,Utilities,Energy,"Tokyo, Japan",http://www.tepco.co.jp,21,Tokyo Electric Power,2015
162,Oh-Joon Kwon,Metals,Materials,"Seoul, South Korea",http://www.posco.com,21,POSCO,2015
163,Alexander R. Wynaendts,"Insurance: Life, Health (stock)",Financials,"The Hague, Netherlands",http://www.aegon.com,20,Aegon,2015
164,Jürgen Fitschena,Banks: Commercial and Savings,Financials,"Frankfurt, Germany",http://www.deutsche-bank.com,21,Deutsche Bank,2015
165,Liu Qitao,"Engineering, Construction",Engineering & Construction,"Beijing, China",http://www.ccccltd.cn,8,China Communications Construction,2015
166,Frederic Lavenir,"Insurance: Life, Health (stock)",Financials,"Paris, France",http://www.cnp.fr,21,CNP Assurances,2015
167,Joseph Jimenez,Pharmaceuticals,Health Care,"Basel, Switzerland",http://www.novartis.com,21,Novartis,2015
168,David P. Abney,"Mail, Package, and Freight Delivery",Transportation,"Atlanta, GA",http://www.ups.com,21,UPS,2015
169,Andrew N. Liveris,Chemicals,Chemicals,"Midland, MI",http://www.dow.com,21,Dow Chemical,2015
170,Mark T. Bertolini,Health Care: Insurance and Managed Care,Health Care,"Hartford, CT",http://www.aetna.com,15,Aetna,2015
171,Richard J.B. Goyder,Food and Drug Stores,Food & Drug Stores,"Perth, Australia",http://www.wesfarmers.com.au,7,Wesfarmers,2015
172,Soren W. Schroder,Food Production,"Food, Beverages & Tobacco","White Plains, NY",http://www.bunge.com,13,Bunge,2015
173,Carlo Messina,Banks: Commercial and Savings,Financials,"Turin, Italy",http://www.group.intesasanpaolo.com,17,Intesa Sanpaolo,2015
174,Wu Yan,Insurance: Property and Casualty (Stock),Financials,"Beijing, China",http://www.picc.com.cn,6,People’s Insurance Co. of China,2015
175,Bon-Joon Koo,"Electronics, Electrical Equip.",Technology,"Seoul, South Korea",http://www.lg.com,15,LG Electronics,2015
176,Robert A. Niblock,Specialty Retailers: Other,Retailing,"Mooresville, NC",http://www.lowes.com,18,Lowe’s,2015
177,Herman O. Gref,Banks: Commercial and Savings,Financials,"Moscow, Russia",http://www.sberbank.ru,8,Sberbank,2015
178,Marijn E. Dekkers,Chemicals,Chemicals,"Leverkusen, Germany",http://www.bayer.com,21,Bayer,2015
179,Heinrich Hiesinger,Metals,Materials,"Essen, Germany",http://www.thyssenkrupp.com,21,ThyssenKrupp,2015
180,Ryan M. Lance,"Mining, Crude-Oil Production",Energy,"Houston, TX",http://www.conocophillips.com,21,ConocoPhillips,2015
181,Grant O’Brien,Food and Drug Stores,Food & Drug Stores,"Bella Vista, Australia",http://www.woolworthslimited.com.au,19,Woolworths,2015
182,Brian M. Krzanich,Semiconductors and Other Electronic Components,Technology,"Santa Clara, CA",http://www.intel.com,21,Intel,2015
183,John W. McReynolds,Pipelines,Energy,"Dallas, TX",http://www.energytransfer.com,2,Energy Transfer Equity,2015
184,Toshifumi Suzuki,Food and Drug Stores,Food & Drug Stores,"Tokyo, Japan",http://www.7andi.com,10,Seven & I Holdings,2015
185,Luiz Carlos Trabuco Cappi,Banks: Commercial and Savings,Financials,"Osasco, Brazil",http://www.bradesco.com.br,19,Banco Bradesco,2015
186,Chang Zhenming,Diversified Financials,Financials,"Beijing, China",http://www.citicgroup.com.cn,7,CITIC Group,2015
187,Douglas R. Oberhelman,Construction and Farm Machinery,Industrials,"Peoria, IL",http://www.caterpillar.com,21,Caterpillar,2015
188,Josu Jon Imaz San Miguel,Petroleum Refining,Energy,"Madrid, Spain",http://www.repsol.com,21,Repsol,2015
189,Severin Schwan,Pharmaceuticals,Health Care,"Basel, Switzerland",http://www.roche.com,21,Roche Group,2015
190,Peng Chun,Banks: Commercial and Savings,Financials,"Shanghai, China",http://www.bankcomm.com,7,Bank of Communications,2015
191,Carlos Ghosn,Motor Vehicles and Parts,Motor Vehicles & Parts,"Boulogne-Billancourt, France",http://www.renault.com,21,Renault,2015
192,Pierre-Andre de Chalendar,"Building Materials, Glass",Materials,"Courbevoie, France",http://www.saint-gobain.com,21,Saint-Gobain,2015
193,Hwan-Eik Cho,Utilities,Energy,"Jeollanam-do, South Korea",http://www.kepco.co.kr,21,Korea Electric Power,2015
194,John R. Strangfeld,"Insurance: Life, Health (stock)",Financials,"Newark, NJ",http://www.prudential.com,21,Prudential Financial,2015
195,John McFarlane,Banks: Commercial and Savings,Financials,"London, Britain",http://www.barclays.com,21,Barclays,2015
196,Ling Wen,"Mining, Crude-Oil Production",Energy,"Beijing, China",http://www.shenhuagroup.com.cn,6,Shenhua Group,2015
197,Rüdiger Grube,Railroads,Transportation,"Berlin, Germany",http://www.deutschebahn.com,21,Deutsche Bahn,2015
198,He Wenbo,Metals,Materials,"Beijing, China",http://www.minmetals.com,9,China Minmetals,2015
199,Stephane Richard,Telecommunications,Telecommunications,"Paris, France",http://www.orange.com,21,Orange,2015
200,Xavier Huillard,"Engineering, Construction",Engineering & Construction,"Rueil-Malmaison, France",http://www.vinci.com,15,Vinci,2015
201,Nobuyuki Hirano,Banks: Commercial and Savings,Financials,"Tokyo, Japan",http://www.mufg.jp,14,Mitsubishi UFJ Financial Group,2015
202,-,Food Production,"Food, Beverages & Tobacco","São Paulo, Brazil",http://www.jbs.com.br,6,JBS,2015
203,Florentino Perez Rodriguez,"Engineering, Construction",Engineering & Construction,"Madrid, Spain",http://www.grupoacs.com,11,ACS,2015
204,Kosei Shindo,Metals,Materials,"Tokyo, Japan",http://www.nssmc.com,21,Nippon Steel & Sumitomo Metal,2015
205,Alistair Phillips-Davies,Utilities,Energy,"Perth, Britain",http://www.sse.com,10,SSE,2015
206,Masahiro Okafuji,Trading,Wholesalers,"Osaka, Japan",http://www.itochu.co.jp,21,Itochu,2015
207,Xu Heyi,Motor Vehicles and Parts,Motor Vehicles & Parts,"Beijing, China",http://www.baicgroup.com.cn,3,Beijing Automotive Group,2015
208,Nils Smedegaard Andersen,Shipping,Transportation,"Copenhagen, Denmark",http://www.maersk.com,12,A.P. Møller-Mærsk A/S,2015
209,Yousef Abdullah Al-Benyan,Chemicals,Chemicals,"Riyadh, Saudi Arabia",http://www.sabic.com,11,SABIC,2015
210,Kil-Seon Choi,Industrial Machinery,Industrials,"Ulsan, South Korea",http://www.hyundaiheavy.com/,9,Hyundai Heavy Industries,2015
211,Ian C. Read,Pharmaceuticals,Health Care,"New York, NY",http://www.pfizer.com,21,Pfizer,2015
212,Donald A. Guloien,"Insurance: Life, Health (stock)",Financials,"Toronto, Ontario, Canada",http://www.manulife.com,13,Manulife Financial,2015
213,Tatsuo Yasunaga,Trading,Wholesalers,"Tokyo, Japan",http://www.mitsui.com,21,Mitsui,2015
214,Robert A. Iger,Entertainment,Media,"Burbank, CA",http://www.disney.com,21,Walt Disney,2015
215,Paal Kibsgaard,"Oil and Gas Equipment, Services",Energy,"Houston, TX",http://www.slb.com,15,Schlumberger,2015
216,Bruce D. Broussard,Health Care: Insurance and Managed Care,Health Care,"Louisville, KY",http://www.humana.com,17,Humana,2015
217,Iain Conn,Utilities,Energy,"Windsor, Britain",http://www.centrica.com,18,Centrica,2015
218,Xu Lejiang,Metals,Materials,"Shanghai, China",http://www.baosteel.com,12,Baosteel Group,2015
219,Suhail Mohamed Faraj Al Mazrouei,Petroleum Refining,Energy,"Abu Dhabi, United Arab Emirates",http://www.ipic.ae,4,International Petroleum Investment,2015
220,A.J. Teague,Pipelines,Energy,"Houston, TX",http://www.enterpriseproducts.com,5,Enterprise Products,2015
221,Francisco González Rodríguez,Banks: Commercial and Savings,Financials,"Bilbao, Spain",http://www.bbva.com,21,Banco Bilbao Vizcaya Argentaria,2015
222,Sam Walsh,"Mining, Crude-Oil Production",Energy,"London, Britain",http://www.riotinto.com,10,Rio Tinto Group,2015
223,Rainer Seele,Petroleum Refining,Energy,"Vienna, Austria",http://www.omv.com,10,OMV Group,2015
