,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
426,"$29,305.80 ","$1,512.90 ","$259,413.50 ","$25,904.90 ",5.20%,0.60%,5.80%,Samsung Life Insurance,2019
427,"$29,159.60 ","$4,818.60 ","$58,854.20 ","$32,955.00 ",16.50%,8.20%,14.60%,SAP,2019
428,"$29,149.00 ",$941.80 ,"$298,904.80 ","$13,732.00 ",3.20%,0.30%,6.90%,La Poste,2019
429,"$29,124.00 ",$783 ,"$272,167.00 ","$22,134.00 ",2.70%,0.30%,3.50%,Northwestern Mutual,2019
430,"$29,123.00 ","($3,330.40)","$46,441.20 ","$12,513.60 ",-11.40%,-7.20%,-26.60%,Naturgy Energy Group,2019
431,"$29,098.20 ",$511.30 ,"$67,587.80 ","$18,673.60 ",1.80%,0.80%,2.70%,Migros Group,2019
432,"$29,092.30 ","$2,772.20 ","$50,494.30 ","$18,681.20 ",9.50%,5.50%,14.80%,Danone,2019
433,"$29,027.90 ","$6,151.50 ","$636,296.90 ","$46,674.50 ",21.20%,1%,13.20%,Westpac Banking,2019
434,"$29,000.90 ","$2,782.50 ","$429,854.20 ","$32,001.40 ",9.60%,0.60%,8.70%,KB Financial Group,2019
435,"$28,803.20 ","$3,404.80 ","$32,042.90 ","$7,674.10 ",11.80%,10.60%,44.40%,International Airlines Group,2019
436,"$28,698.50 ",$309.90 ,"$14,619.20 ","$4,043.90 ",1.10%,2.10%,7.70%,Medipal Holdings,2019
437,"$28,662.90 ","$1,064.80 ","$27,588.90 ","$13,247.20 ",3.70%,3.90%,8%,Sumitomo Electric Industries,2019
438,"$28,654.90 ",$323.40 ,"$108,633.20 ","$13,515.50 ",1.10%,0.30%,2.40%,China Datang,2019
439,"$28,564.00 ",$137 ,"$38,415.20 ","$5,472.20 ",0.50%,0.40%,2.50%,Xinjiang Guanghui Industry Investment,2019
440,"$28,505.40 ","$1,333.10 ","$26,951.50 ","$14,703.70 ",4.70%,4.90%,9.10%,Subaru,2019
441,"$28,499.00 ","$1,628.90 ","$27,967.90 ","$6,170.00 ",5.70%,5.80%,26.40%,Anhui Conch Group,2019
442,"$28,492.80 ",$398.80 ,"$74,401.50 ","$2,403.20 ",1.40%,0.50%,16.60%,Huaxia Life Insurance,2019
443,"$28,457.10 ","$2,322.30 ","$84,234.70 ","$36,742.40 ",8.20%,2.80%,6.30%,CFE,2019
444,"$28,319.40 ","$1,556.90 ","$38,009.00 ","$17,878.10 ",5.50%,4.10%,8.70%,Samsung C&T,2019
445,"$28,167.10 ",$540.50 ,"$11,107.70 ","$4,093.10 ",1.90%,4.90%,13.20%,Adecco Group,2019
446,"$28,102.20 ",$830.80 ,"$11,359.10 ","$5,118.40 ",3%,7.30%,16.20%,Randstad,2019
447,"$28,088.80 ","$1,536.10 ","$60,579.50 ","$27,323.90 ",5.50%,2.50%,5.60%,LafargeHolcim,2019
448,"$27,713.60 ","$1,124.80 ","$24,280.10 ","$5,739.00 ",4.10%,4.60%,19.60%,Haier Smart Home,2019
449,"$27,622.70 ",$55.50 ,"$7,824.70 ",$505.30 ,0.20%,0.70%,11%,INTL FCStone,2019
450,"$27,610.00 ","$3,549.00 ","$52,196.00 ","$23,598.00 ",12.90%,6.80%,15%,Anglo American,2019
451,"$27,485.80 ",$434 ,"$96,189.10 ","$4,207.00 ",1.60%,0.50%,10.30%,China Taiping Insurance Group,2019
452,"$27,423.50 ",$624.10 ,"$76,913.40 ","$9,136.90 ",2.30%,0.80%,6.80%,Mapfre Group,2019
453,"$27,374.10 ",$716.30 ,"$54,102.50 ","$15,696.90 ",2.60%,1.30%,4.60%,Chubu Electric Power,2019
454,"$27,186.10 ",$128.30 ,"$8,005.40 ","$2,676.50 ",0.50%,1.60%,4.80%,PBF Energy,2019
455,"$27,183.40 ","$1,001.50 ","$207,944.90 ","$11,601.80 ",3.70%,0.50%,8.60%,Cathay Life Insurance,2019
456,"$27,172.70 ",$144.10 ,"$61,194.70 ","$4,359.40 ",0.50%,0.20%,3.30%,Financi??re de l?€?Odet,2019
457,"$27,147.90 ","$4,863.40 ","$681,894.20 ","$42,856.40 ",17.90%,0.70%,11.30%,Australia & New Zealand Banking Group,2019
458,"$27,076.10 ","$2,662.60 ","$75,537.00 ","$27,075.70 ",9.80%,3.50%,9.80%,East Japan Railway,2019
459,"$27,061.30 ","$1,789.10 ","$42,246.40 ","$13,607.40 ",6.60%,4.20%,13.10%,OMV Group,2019
460,"$27,058.00 ","$2,909.00 ","$31,864.00 ","$11,472.00 ",10.80%,9.10%,25.40%,Raytheon,2019
461,"$26,846.70 ",($70.20),"$12,668.50 ","$1,221.50 ",-0.30%,-0.60%,-5.70%,TongLing Nonferrous Metals Group,2019
462,"$26,840.50 ",$1.20 ,"$35,084.40 ","$4,240.00 ",-,-,-,Shanxi LuAn Mining Group,2019
463,"$26,835.70 ",$250.90 ,"$28,439.10 ","$3,637.80 ",0.90%,0.90%,6.90%,CJ Corp.,2019
464,"$26,697.60 ",($181.80),"$49,898.20 ","$6,393.90 ",-0.70%,-0.40%,-2.80%,Datong Coal Mine Group,2019
465,"$26,692.80 ",$141.60 ,"$49,288.00 ","$5,802.80 ",0.50%,0.30%,2.40%,Shanxi Coking Coal Group,2019
466,"$26,628.10 ",($401.30),"$45,167.90 ","$17,475.30 ",-1.50%,-0.90%,-2.30%,Nokia,2019
467,"$26,608.10 ","$1,134.10 ","$47,955.70 ","$8,181.60 ",4.30%,2.40%,13.90%,Heineken Holding,2019
468,"$26,443.50 ","$2,049.10 ","$21,152.70 ","$10,388.30 ",7.70%,9.70%,19.70%,Xiaomi,2019
469,"$26,290.10 ",($131.10),"$34,909.50 ","$3,761.40 ",-0.50%,-0.40%,-3.50%,Yangquan Coal Industry Group,2019
470,"$26,277.00 ",$362.50 ,"$26,661.60 ","$7,767.10 ",1.40%,1.40%,4.70%,NEC,2019
471,"$26,276.50 ","$1,583.40 ","$251,010.50 ","$14,941.50 ",6%,0.60%,10.60%,Fubon Financial Holding,2019
472,"$26,268.00 ","($10,192.00)","$103,461.00 ","$51,657.00 ",-38.80%,-9.90%,-19.70%,Kraft Heinz,2019
473,"$26,251.00 ",$237.60 ,"$8,036.40 ","$2,507.80 ",0.90%,3%,9.50%,Hailiang Group,2019
474,"$26,210.50 ",$93.40 ,"$13,499.40 ","$2,972.40 ",0.40%,0.70%,3.10%,Flex,2019
475,"$26,207.90 ",$103.60 ,"$20,671.30 ","$6,064.90 ",0.40%,0.50%,1.70%,Xinxing Cathay International Group,2019
476,"$26,147.70 ",$237.10 ,"$34,687.80 ","$10,114.90 ",0.90%,0.70%,2.30%,Emirates Group,2019
477,"$26,129.40 ",($252.20),"$9,842.90 ",$796.70 ,-1%,-2.60%,-31.70%,Ceconomy,2019
478,"$25,996.70 ","$1,979.10 ","$33,659.10 ","$13,881.70 ",7.60%,5.90%,14.30%,Michelin,2019
479,"$25,942.70 ","$4,220.60 ","$583,429.30 ","$38,123.90 ",16.30%,0.70%,11.10%,National Australia Bank,2019
480,"$25,938.00 ","$3,381.00 ","$62,729.00 ","$25,637.00 ",13%,5.40%,13.20%,Mondelez International,2019
481,"$25,920.00 ","$2,008.60 ","$17,844.50 ","$7,288.90 ",7.70%,11.30%,27.60%,Adidas,2019
482,"$25,844.70 ",$52.60 ,"$40,137.80 ","$6,321.40 ",0.20%,0.10%,0.80%,Shanxi Jincheng Anthracite Coal Mining Group,2019
483,"$25,823.30 ","$2,235.20 ","$674,869.50 ","$31,162.80 ",8.70%,0.30%,7.20%,Rabobank Group,2019
484,"$25,781.90 ",($133.30),"$39,328.40 ","$2,494.90 ",-0.50%,-0.30%,-5.30%,Henan Energy & Chemical,2019
485,"$25,779.10 ",$442.70 ,"$25,230.80 ","$5,785.90 ",1.70%,1.80%,7.70%,China General Technology,2019
486,"$25,775.00 ","$7,096.00 ","$467,374.00 ","$51,029.00 ",27.50%,1.50%,13.90%,U.S. Bancorp,2019
487,"$25,739.00 ","$1,108.00 ","$19,194.00 ","$6,436.00 ",4.30%,5.80%,17.20%,Macy?€?s,2019
488,"$25,679.00 ","$1,247.30 ","$29,270.30 ","$13,053.90 ",4.90%,4.30%,9.60%,Fomento Econ??mico Mexicano,2019
489,"$25,625.00 ","$1,589.50 ","$13,204.00 ","$6,417.40 ",6.20%,12%,24.80%,Dollar General,2019
490,"$25,617.30 ","$1,338.50 ","$25,942.60 ","$15,311.50 ",5.20%,5.20%,8.70%,LG Chem,2019
491,"$25,606.00 ",($663),"$45,417.00 ","$2,562.00 ",-2.60%,-1.50%,-25.90%,Onex,2019
492,"$25,462.80 ","$1,993.40 ","$13,201.80 ","$10,988.40 ",7.80%,15.10%,18.10%,Formosa Petrochemical,2019
493,"$25,191.90 ","$1,514.20 ","$46,428.70 ","$13,664.60 ",6%,3.30%,11.10%,Safran,2019
494,"$25,180.10 ",$370.60 ,"$93,515.70 ","$11,083.70 ",1.50%,0.40%,3.30%,Achmea,2019
495,"$25,142.60 ",$184.80 ,"$4,163.80 ","$1,276.30 ",0.70%,4.40%,14.50%,Rajesh Exports,2019
496,"$25,067.30 ","$2,360.80 ","$17,920.60 ","$9,792.10 ",9.40%,13.20%,24.10%,Nucor,2019
497,"$25,002.70 ","$4,235.10 ","$589,481.40 ","$34,823.70 ",16.90%,0.70%,12.20%,Bank of Montreal,2019
498,"$24,931.70 ","$1,794.60 ","$117,398.30 ","$8,477.50 ",7.20%,1.50%,21.20%,Taikang Insurance Group,2019
499,"$24,816.00 ",$314.80 ,"$7,870.20 ","$2,438.00 ",1.30%,4%,12.90%,Ultrapar Holdings,2019
500,"$24,796.60 ","$2,494.20 ","$47,983.80 ","$20,326.10 ",10.10%,5.20%,12.30%,Air Liquide,2019
