,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
97,"$86,622.60 ","$3,390.90 ","$58,175.00 ","$26,482.50 ",3.90%,5.80%,12.80%,Pacific Construction Group,2019
98,"$86,604.70 ","$12,727.90 ","$326,163.20 ","$68,866.70 ",14.70%,3.90%,18.50%,SoftBank Group,2019
99,"$86,131.00 ","$13,727.00 ","$2,558,124.00 ","$186,253.00 ",15.90%,0.50%,7.40%,HSBC Holdings,2019
100,"$85,977.00 ","$3,844.00 ","$188,030.00 ","$94,571.00 ",4.50%,2%,4.10%,DuPont,2019
101,"$85,627.90 ","$4,133.60 ","$1,429,122.30 ","$51,125.20 ",4.80%,0.30%,8.10%,China Post Group,2019
102,"$85,507.80 ","$2,007.20 ","$86,984.70 ","$29,480.50 ",2.30%,2.30%,6.80%,Hitachi,2019
103,"$84,270.60 ","$1,743.10 ","$65,227.60 ","$19,759.70 ",2.10%,2.70%,8.80%,Tesco,2019
104,"$83,973.70 ","$8,881.90 ","$2,332,675.50 ","$115,976.80 ",10.60%,0.40%,7.70%,BNP Paribas,2019
105,"$82,733.30 ","$2,907.10 ","$76,604.40 ","$24,558.10 ",3.50%,3.80%,11.80%,JXTG Holdings,2019
106,"$82,331.20 ","$5,660.80 ","$144,715.20 ","$55,886.50 ",6.90%,3.90%,10.10%,Reliance Industries,2019
107,"$81,977.70 ","$3,531.40 ","$259,644.40 ","$58,079.70 ",4.30%,1.40%,6.10%,China Energy Investment,2019
108,"$81,732.20 ","$8,788.40 ","$272,518.40 ","$100,877.70 ",10.80%,3.20%,8.70%,State Farm Insurance Cos.,2019
109,"$81,581.00 ","$15,297.00 ","$152,954.00 ","$59,752.00 ",18.80%,10%,25.60%,Johnson & Johnson,2019
110,"$81,403.30 ","$1,389.10 ","$323,662.20 ","$50,828.10 ",1.70%,0.40%,2.70%,Electricit?? de France,2019
111,"$80,963.60 ","$1,782.40 ","$118,705.60 ","$45,921.30 ",2.20%,1.50%,3.90%,China Southern Power Grid,2019
112,"$80,076.40 ",($373.60),"$130,626.80 ","$6,622.80 ",-0.50%,-0.30%,-5.60%,China Minmetals,2019
113,"$79,593.00 ","$7,535.00 ","$112,508.00 ","$42,970.00 ",9.50%,6.70%,17.50%,Equinor,2019
114,"$79,591.00 ","$8,728.00 ","$123,382.00 ","$16,796.00 ",11%,7.10%,52%,International Business Machines,2019
115,"$78,798.70 ","$5,555.10 ","$98,933.50 ","$40,066.70 ",7%,5.60%,13.90%,BASF,2019
