Country,Country Name,Performance Oriented,Autocratic,Modesty,Charismatic 3: Self-sacrifice,Team 1: Collaborative Team Orientation,Decisive,Diplomatic,Face-saver,Charismatic 1: Visionary,Humane-oriented,Integrity,"Bureaucratic, Originally Labeled ¡°Procedural¡±",Administratively Competent,Self-centred,Autonomous,Status Conscious,Charismatic 2: Inspirational,Malevolent,Team 2: Team Integrator,"Internally Competitive, Originally Labeled ¡°Conflict Inducer¡±",Participative,Charismatic/Value-based Global Leadership Dimension,Team-Oriented Global Leadership Dimension,Self-Protective Global Leadership Dimension,Participative Global Leadership Dimension,Humane-Oriented Global Leadership Dimension,Autonomous Global Leadership Dimension,Country Cluster
48,Ireland,6.38,2.48,5.11,5.11,5.46,6.14,5.44,2.48,6.33,5.01,6.19,3.50,5.60,1.99,3.95,3.63,6.33,1.66,6.19,3.36,5.76,6.08,5.81,3.00,5.64,5.06,3.95,Anglo
49,Bolivia,6.04,2.79,4.43,4.94,5.77,6.27,5.99,2.83,6.20,4.77,6.29,4.85,6.30,2.34,3.92,5.35,6.28,1.79,6.25,3.88,5.37,6.01,6.10,3.83,5.29,4.56,3.92,Latin America
51,Austria,6.23,1.90,5.05,5.03,5.34,5.96,5.43,2.56,6.13,4.80,6.46,3.36,5.80,1.99,4.47,3.86,6.34,1.54,5.67,3.57,5.89,6.02,5.74,3.07,6.00,4.93,4.47,Germanic Europe
55,Switzerland,6.08,1.91,4.88,4.88,5.25,5.86,5.27,2.46,6.12,4.65,6.36,3.00,5.51,2.00,4.13,3.81,6.25,1.60,5.59,3.36,5.80,5.93,5.61,2.92,5.94,4.76,4.13,Germanic Europe
56,Netherlands,5.95,2.08,4.71,4.79,5.42,5.87,5.43,2.23,6.30,4.98,6.52,3.22,5.43,1.75,3.53,3.93,6.38,1.62,6.01,3.26,5.59,5.98,5.75,2.87,5.75,4.82,3.53,Germanic Europe
57,France,5.10,2.36,4.27,3.98,4.73,5.06,5.01,2.19,5.06,3.29,5.14,3.17,4.53,1.86,3.32,3.35,5.22,1.95,5.11,3.41,6.14,4.93,5.11,2.81,5.90,3.82,3.32,Latin Europe
58,French Switzerland,5.82,2.91,4.52,5.27,5.26,5.79,5.61,2.34,6.10,4.64,6.11,3.21,5.17,1.98,4.02,3.58,6.31,1.84,5.84,3.51,5.50,5.90,5.62,2.94,5.30,4.55,4.02,Latin Europe
60,Australia,6.35,2.28,5.09,5.14,5.52,6.02,5.56,2.67,6.24,5.12,6.36,3.56,5.41,1.91,3.95,3.82,6.40,1.63,6.10,3.28,5.69,6.09,5.81,3.05,5.71,5.10,3.95,Anglo
61,Greece,5.82,2.14,5.28,5.42,5.76,6.18,6.01,3.05,6.19,5.02,6.27,3.74,6.18,2.10,3.98,5.12,6.25,1.55,6.19,3.62,5.75,6.01,6.12,3.49,5.81,5.16,3.98,Eastern Europe
62,Sweden,5.96,2.41,4.59,4.81,5.50,5.59,5.27,2.39,6.05,4.96,6.29,3.19,5.44,1.79,3.97,3.30,6.31,1.52,5.98,3.33,5.49,5.84,5.75,2.81,5.54,4.73,3.97,Nordic Europe
65,South Africa (White Sample),6.01,2.30,5.33,5.01,5.61,6.07,5.43,2.78,6.15,5.35,6.35,3.53,5.74,2.10,3.74,3.78,6.33,1.81,6.02,3.69,5.54,5.99,5.80,3.19,5.62,5.33,3.74,Anglo
67,Canada,6.43,1.89,5.21,5.11,5.45,6.03,5.59,2.55,6.36,5.20,6.51,3.45,5.45,1.86,3.65,3.55,6.47,1.48,6.08,3.32,6.06,6.15,5.84,2.96,6.09,5.20,3.65,Anglo
68,Brazil,6.36,1.93,5.44,4.84,6.09,5.70,5.57,2.53,6.15,4.08,6.62,3.85,6.07,2.12,2.27,5.17,6.35,1.33,6.43,3.96,6.04,6.00,6.17,3.49,6.06,4.84,2.27,Latin America
69,Kuwait,6.08,2.96,5.33,5.16,5.83,5.58,5.70,3.34,6.22,5.06,6.19,4.25,6.12,2.07,3.39,5.93,6.16,1.84,5.73,4.87,4.99,5.90,5.89,4.02,5.03,5.21,3.39,Middle East
70,Philippines,6.56,2.70,5.58,5.55,5.81,6.37,5.60,2.79,6.46,5.45,6.58,4.05,6.21,1.87,3.75,3.91,6.51,1.57,6.26,3.93,5.48,6.33,6.06,3.32,5.40,5.53,3.75,Southern Asia
78,Argentina,6.20,2.23,4.72,4.87,5.69,6.13,6.05,3.00,6.15,4.71,6.15,3.85,5.67,1.71,4.55,4.59,6.32,1.58,6.04,4.24,6.00,5.98,5.99,3.45,5.89,4.70,4.55,Latin America
85,Nigeria,6.00,2.75,5.46,4.92,5.60,5.75,5.22,3.47,5.89,5.54,6.07,4.53,6.03,2.35,3.62,4.61,5.98,2.15,5.64,4.47,5.12,5.76,5.65,3.89,5.18,5.49,3.62,Sub-Sahara Africa 
87,New Zealand,6.31,2.63,4.57,4.88,5.21,5.69,5.22,2.39,6.23,5.09,5.49,3.86,4.79,2.23,3.77,3.56,6.50,1.83,5.71,3.74,5.62,5.87,5.44,3.19,5.50,4.78,3.77,Anglo
88,Slovenia,5.76,2.49,4.66,4.77,5.35,5.79,5.85,3.04,6.00,4.18,6.08,4.19,5.85,2.28,4.28,4.33,5.74,1.67,6.11,4.15,5.33,5.69,5.91,3.61,5.42,4.44,4.28,Eastern Europe
89,Malaysia,6.11,2.86,5.32,5.18,5.42,5.93,5.70,3.59,6.01,5.14,6.03,3.95,5.93,2.16,4.03,3.64,6.10,1.91,5.90,3.98,5.09,5.89,5.80,3.49,5.12,5.24,4.03,Southern Asia
94,Germany,6.11,1.95,4.61,4.87,5.05,5.78,5.08,2.36,5.99,4.27,6.12,3.00,5.51,2.10,4.30,3.72,6.15,1.68,5.48,3.59,5.72,5.84,5.49,2.96,5.88,4.44,4.30,Germanic Europe
96,Denmark,6.05,2.10,4.32,5.05,5.28,6.08,5.32,2.21,6.20,4.18,6.38,2.82,5.14,1.95,3.79,4.07,6.26,1.51,6.13,3.09,5.70,6.00,5.70,2.81,5.80,4.23,3.79,Nordic Europe
97,Georgia,5.94,2.64,5.56,4.91,5.63,6.00,5.66,3.77,5.82,5.68,5.79,4.21,6.19,2.78,4.57,4.65,5.48,1.82,5.70,4.02,4.42,5.65,5.85,3.89,4.88,5.61,4.57,Eastern Europe
98,Thailand,5.98,2.58,5.30,4.96,5.32,5.87,5.69,3.62,6.09,4.83,6.03,4.89,6.21,2.36,4.28,4.95,5.77,1.81,5.46,3.75,5.17,5.78,5.76,3.91,5.29,5.09,4.28,Southern Asia
99,United States,6.46,2.03,5.24,5.16,5.38,5.96,5.46,2.66,6.28,5.19,6.51,3.90,5.63,1.97,3.75,3.60,6.35,1.55,6.03,3.53,5.90,6.12,5.80,3.15,5.93,5.21,3.75,Anglo
