,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
86,"$89,804.70","$2,660.30","$66,682.90","$26,822.70",3%,4%,9.9%,China FAW Group
87,"$89,358.10",$701.4,"$71,332.70","$7,449.80",0.8%,1%,9.4%,Sinochem Group
88,"$89,305.70","$5,651.80","$189,079.60","$36,256.00",6.3%,3%,15.6%,Enel
89,"$89,286.80","$2,556.20","$166,163.60","$35,326.70",2.9%,1.5%,7.2%,Deutsche Telekom
90,"$88,325.00","$5,192.70","$1,856,682.30","$67,221.00",5.9%,0.3%,7.7%,Crédit Agricole
91,"$88,157.40","$2,725.00","$589,590.30","$26,975.90",3.1%,0.5%,10.1%,Assicurazioni Generali
92,"$88,140.90","$1,585.20","$198,943.70","$17,186.30",1.8%,0.8%,9.2%,China Communications Construction
93,"$87,999.20","$1,370.80","$161,921.40","$60,925.00",1.6%,0.8%,2.3%,Hyundai Motor
94,"$87,403.30","$-9,377.90","$105,384.40","$-74,136.90",-10.7%,-8.9%,-,Pemex
95,"$87,364.30","$3,336.30","$70,811.10","$19,528.20",3.8%,4.7%,17.1%,Peugeot
96,"$86,622.60","$3,390.90","$58,175.00","$26,482.50",3.9%,5.8%,12.8%,Pacific Construction Group
97,"$86,604.70","$12,727.90","$326,163.20","$68,866.70",14.7%,3.9%,18.5%,SoftBank Group
98,"$86,131.00","$13,727.00","$2,558,124.00","$186,253.00",15.9%,0.5%,7.4%,HSBC Holdings
99,"$85,977.00","$3,844.00","$188,030.00","$94,571.00",4.5%,2%,4.1%,DuPont
100,"$85,627.90","$4,133.60","$1,429,122.30","$51,125.20",4.8%,0.3%,8.1%,China Post Group
101,"$85,507.80","$2,007.20","$86,984.70","$29,480.50",2.3%,2.3%,6.8%,Hitachi
102,"$84,270.60","$1,743.10","$65,227.60","$19,759.70",2.1%,2.7%,8.8%,Tesco
103,"$83,973.70","$8,881.90","$2,332,675.50","$115,976.80",10.6%,0.4%,7.7%,BNP Paribas
104,"$82,733.30","$2,907.10","$76,604.40","$24,558.10",3.5%,3.8%,11.8%,JXTG Holdings
105,"$82,331.20","$5,660.80","$144,715.20","$55,886.50",6.9%,3.9%,10.1%,Reliance Industries
106,"$81,977.70","$3,531.40","$259,644.40","$58,079.70",4.3%,1.4%,6.1%,China Energy Investment
